Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\pre CV EIS Nb2 H2SO4 1M\2-EIS frequency scan-FrequencyScan.txt;1;1;923,91286983;200249,999999822;1,14180671690574;3,09890286516436;21,62037382907;2,88088118272046
;2;2;925,45932797;158860,485739096;1,45103920897673;3,23237870424144;26,6736151543625;2,88838316392506
;3;3;926,75026455;126183,269646263;1,75589895661726;3,41891187930314;30,9028645784916;2,93356051456085
;4;4;927,79916597;100227,677540783;2,1841103126767;3,69648432499871;36,2181674759573;2,98222375200461
;5;5;929,39817499;79611,0876933198;2,6745139982037;4,06813270180971;41,1041916020581;3,06540022720461
;6;6;930,25164523;63235,2803058247;3,30862050745393;4,57051697771507;46,377840342997;3,15319770728652
;7;7;931,44814443;50227,936726169;4,0573761310768;5,19699646378399;51,3261404004391;3,24753309075544
;8;8;932,91075787;39896,1721300446;5,02228018515236;6,08183902671839;55,6679711453157;3,43008275246252
;9;9;933,80349259;31689,6264184765;6,1756903708146;7,16864450945272;59,4838974340652;3,64009787598279
;10;10;935,03222931;25171,1472286302;7,60885988642627;8,54174577891272;62,9720688400245;3,88158114436713
;11;11;937,06647483;19993,5033766323;9,36441767642898;10,2672264192069;65,7928392784577;4,20994298353835
;12;12;937,95299591;15880,8882903356;11,5182859564967;12,4052724267276;68,2020687185257;4,60650329487567
;13;13;939,49014283;12614,2281387537;14,1554256889751;15,0569442088776;70,0727379300895;5,13181181193899
;14;14;940,68087515;10019,5120464972;17,3912758509226;18,3235126351825;71,6449706091441;5,77015074056215
;15;15;941,79191845;7958,3333331853;21,3329851680879;22,33225966969;72,7953218176607;6,60557081353343
;16;16;942,55127725;6321,42857140319;26,1480137187793;27,2456169326745;73,6814764632896;7,65539160360664
;17;17;944,30910141;5021,42857140319;32,0381719780537;33,2787412565876;74,3063792725204;9,00167517340843
;18;18;944,93498965;3986,66666654824;39,273246236657;40,7157110045905;74,7032274960143;10,741566582405
;19;19;945,65635971;3168;47,9521225359183;49,664476429215;74,910764311103;12,9288113640937
;20;20;945,99536471;2513,99999982236;58,5303556616819;60,6067801691764;74,9587859338538;15,728295158468
;21;21;946,49080317;1993,33333309649;71,4158692632315;73,9895394322072;74,8436054494405;19,3449105132894
;22;22;946,93251013;1586,66666654824;86,627608596806;89,8508149330102;74,6068472057816;23,8500811932503
;23;23;947,30105073;1265,99999982236;104,697055132545;108,764002068389;74,2821933027792;29,4641272143843
;24;24;947,66649617;1006,66666654824;126,625687389271;131,828738298196;73,8489607089847;36,6708540190833
;25;25;948,01840997;793,333333096486;153,931921843125;160,708187043639;73,302487962461;46,1745040096284
;26;26;948,33712981;629,999999822364;185,512066121708;194,264295677691;72,735871744525;57,6531863681836
;27;27;948,65614641;506,666666548243;220,583509514724;231,777161391087;72,1206492774353;71,15875120235
;28;28;949,20897117;393,333333096486;269,164049919064;284,056667418378;71,3646907220653;90,7684115538127
;29;29;949,56014939;317,142856838339;317,785598652881;336,501640387101;70,8007253346815;110,660143105093
;30;30;949,86025655;257,142856838339;373,088752144859;396,766325384911;70,1059773854168;135,01222160396
;31;31;950,17814465;193,333333096486;462,760380037181;494,194681012534;69,4543519630863;173,439365222904
;32;32;950,50697425;157,499999777955;539,677270980564;578,694721186685;68,8401212581137;208,892373044842
;33;33;950,83905997;125,999999822364;634,725745161664;683,093712474164;68,3093316636756;252,468311775372
;34;34;951,17690065;106,666666548243;717,365273574322;773,879308060936;67,967782211471;290,303716329141
;35;35;951,49622885;80;884,095452858668;956,658660573099;67,5404276599957;365,473696843074
;36;36;951,80812977;65,9999998223643;1019,11669098188;1104,63406115422;67,3066802519784;426,166140400927
;37;37;952,15458745;53,9999998223643;1177,8098534699;1279,7600077735;66,975326420706;500,549324807906
;38;38;952,46570077;40;1470,32961060358;1598,36077544709;66,9112415127349;626,80778925452
;39;39;952,74416393;29,9999998223643;1811,62138572635;1974,0541006305;66,5944539424273;784,166785189893
;40;40;953,03063073;25,7142856127796;2033,97082666093;2215,62797549075;66,6370125275954;878,618234541888
;41;41;953,32020709;20;2442,51164666509;2662,36630937914;66,5519629213363;1059,40135039677
;42;42;953,60559349;17,1428568383388;2743,31976436194;2986,59593641186;66,7141437137204;1180,65742612028
;43;43;953,88377345;12;3605,00300127778;3931,85548194025;66,4728006963787;1569,53524702115
;44;44;954,15434633;9,99999982236431;4173,91727065228;4572,30770733639;65,9048654015664;1866,65808018456
;45;45;954,44198121;8,57142841916941;4637,65511202288;5117,83649732271;64,9819937233545;2164,34874159789
;46;46;954,77060665;5,99999982236432;6075,22375046098;6803,87941748811;63,2406972888608;3063,40195037366
;47;47;955,13485241;4,99999973354647;6848,72370312411;7757,91095304965;61,9826201638246;3644,19620680799
;48;48;955,54845077;3,74999980015985;8165,09489382485;9277,63517442354;61,6524539769941;4405,19463866654
;49;49;956,02133141;3,15789458725416;9969,00236143273;11077,1650539463;64,1527731286907;4829,34545773202
;50;50;956,56212917;2,49999986677324;10794,1844813753;13117,4593017868;55,3748292612789;7453,4099522346
;51;51;957,19389729;1,99999982236431;12620,8659041841;14625,8836871401;59,6452504569909;7391,22570744223
;52;52;957,94516329;1,5789471159914;15025,1808518663;18531,2650735182;54,1743318147684;10846,738016275
;53;53;958,84845633;1,24999993338662;17162,6654880097;20903,5518304575;55,1891014761865;11933,2054568461
;54;54;959,94009257;0,999999733546472;17059,4795426831;22301,0375940479;49,9037440098275;14363,5105564036
;55;55;964,67734831;0,794818438122252;19992,6019426758;25924,0583479953;50,461659834375;16503,1108822544
;56;56;967,29189701;0,631326106343912;21140,4897816596;28075,0601694347;48,8508250414565;18474,0005225972
;57;57;970,27133075;0,501463762453483;24021,1472691063;32809,9133181069;47,0653231413705;22348,9350041025
;58;58;973,72862569;0,398313917604931;28341,4975913162;37125,4900240026;49,7646157137261;23980,4404422382
;59;59;977,76700773;0,31638158951786;28657,3466780172;38677,1305225094;47,8113602101733;25974,5434383583
;60;60;982,53958057;0,251302624682709;32734,0965490386;43286,8293692361;49,131539868181;28323,6388897962
;61;61;988,25694877;0,199610285070635;38722,0764985146;51198,5652138419;49,1401200378323;33494,6842289818
;62;62;995,15431039;0,158550862292465;41929,5998679562;52933,4571508388;52,3839834459099;32308,8152189581
;63;63;1003,53740261;0,125937305794236;43820,5529812484;60293,2472127493;46,6179921064448;41412,9785921673
;64;64;1013,77132613;0,100032338576458;57686,5856190685;73222,6311155073;51,9826735396084;45097,7998032225
;65;65;1026,35282763;0,0794557313665273;65061,2392910717;77369,5235408715;57,2369313562602;41869,7780606893
;66;66;1041,92225129;0,0631118272592439;78268,3218629499;89403,2966723564;61,0985506721176;43209,0181402336
;67;67;1061,19444373;0,0501298561266415;86426,8272809946;100899,88576815;58,9325297912415;52069,0932719864
;68;68;1085,16330155;0,0398184598826237;99052,3679144927;113007,940322399;61,2239568104282;54400,5789164305
;69;69;1115,08761477;0,0316276784463699;120471,703616828;133762,174615407;64,2424569974982;58128,2030128384
;70;70;1152,39019117;0,025121949118212;147803,728762929;170429,038305418;60,1400503151306;84853,4905674734
;71;71;1199,07378551;0,0199545270409918;128691,16535753;168015,036419305;49,9916079897088;108016,833974623
;72;72;1257,58992695;0,0158497216315589;253308,124096864;258602,772174966;78,3859586046115;52061,3872568261
;73;73;1330,83811681;0,0125893962687091;301489,025964132;332869,080634306;64,9215843974825;141089,305284019
;74;74;1422,58017665;0,00999982325249341;145961,277116072;198763,678070456;47,2519680262691;134915,919382187
