Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;310,97901478;100000;0,827810675841568;2,72295244527443;17,6987434352546;2,59407006539699
;2;2;312,60332592;79432,8234721399;1,01873072439545;2,8126732652718;21,2349403033248;2,62170147201154
;3;3;313,98409884;63095,7344477959;1,23543829215546;2,93829667342961;24,8636771644271;2,66594815541554
;4;4;315,15350132;50118,7233625298;1,50693255617092;3,11004783116682;28,9821278364585;2,72057931023847
;5;5;316,68201884;39810,7170550419;1,84139194885725;3,34721280030486;33,3757222953933;2,79519395055306
;6;6;317,7816586;31622,7766013657;2,2440531670374;3,64712339583304;37,9732864433569;2,87501903436172
;7;7;319,5135536;25118,8643150248;2,74631106527058;4,05335006943164;42,6517896207189;2,98117800846139
;8;8;320,62107144;19952,6231495358;3,35247183422337;4,57105644947296;47,1732790598809;3,10732838062014
;9;9;321,54918216;15848,93192441;4,09656353735315;5,2384411445565;51,4458598661063;3,26487868218882
;10;10;323,00744008;12589,2541178838;5,0075905059743;6,0852617285613;55,3766318886996;3,45752044528573
;11;11;324,41790976;10000;6,11812429050433;7,14601620021069;58,8879851074656;3,6924385844066
;12;12;325,6242247;7942,85714280639;7,47882143010384;8,47438758587869;61,9479302552449;3,98528229518492
;13;13;328,17779358;6309,99999982236;9,16825249335515;10,1460184040909;64,639472122073;4,34566861072465
;14;14;329,12777122;5012,49999968914;11,1952267173998;12,1767569244786;66,8375229853658;4,78960415314829
;15;15;329,59714834;3980;13,6756348513419;14,6829506892598;68,6534103448979;5,3447219156846
;16;16;330,16618526;3162,85714280639;16,6873093693344;17,7396896970248;70,1654793075588;6,01916078526343
;17;17;330,64408974;2512,49999968914;20,3665459929556;21,4887786272951;71,4013412330057;6,8535692314091
;18;18;331,0832623;1993,33333309649;24,8822396148926;26,1039676078959;72,4013160970819;7,89248228513379
;19;19;331,45840272;1585,71428561278;30,3194804212497;31,6735370233297;73,1861481069818;9,16198966129601
;20;20;331,7758783;1253,99999982236;37,1117271061501;38,6489415990666;73,7861505258003;10,791681885911
;21;21;332,11392202;1006,66666654824;44,8246180992987;46,5849856572594;74,1986750578142;12,6852079580542
;22;22;332,66073582;793,333333096486;54,9504075441461;57,0201419202112;74,5152820305663;15,2233142033289
;23;23;332,95085566;629,999999822364;66,9374630601125;69,3988203708393;74,6947321365087;18,3186328076112
;24;24;333,23297226;506,666666548243;80,5646983989095;83,5000023915696;74,7629304316443;21,9449258664701
;25;25;334,1967565;393,333333096486;99,9125230368547;103,525908702754;74,8175585833184;27,1127555431185
;26;26;334,48903472;317,142856838339;119,766100665458;124,149854295486;74,7287754014269;32,6996552425513
;27;27;334,77024192;257,142856838339;142,82296631768;148,145007587347;74,5956974368607;39,3515382834517
;28;28;335,05693002;193,333333096486;181,094676024445;188,083469811206;74,331858827481;50,7947825256132
;29;29;335,35375962;157,499999777955;214,591230598156;223,130731190349;74,0973654537476;61,1385880758515
;30;30;335,65574534;125,999999822364;257,827132473128;268,464740575111;73,8169429958312;74,8230358428868
;31;31;335,96698602;106,666666548243;295,55130518929;308,086648422386;73,5996561644652;86,9874067727378
;32;32;336,24601418;80;373,433024329214;390,138949130556;73,1722802078747;112,943242245967
;33;33;336,53091514;65,9999998223643;436,093697990683;456,371609143613;72,8560350198917;134,526325323863
;34;34;336,85587282;53,9999998223643;512,443149623034;537,240110351614;72,5241861952037;161,334914308833
;35;35;337,14088614;40;650,907885229939;684,43717225539;71,9917265816772;211,596710065262
