Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;308,81102785;100000;1,70874665374033;5,29346616818834;18,8325222112234;5,0100867205155
;2;2;310,88223901;79432,8234721399;1,96441130181993;5,45327358437341;21,1140802883895;5,08716827157378
;3;3;312,07781189;63095,7344477959;2,30600016092445;5,63121561358814;24,1736231444495;5,13740718111143
;4;4;313,02061441;50118,7233625298;2,80398521247931;6,05291089796159;27,5967485750808;5,36427043192823
;5;5;315,37633193;39810,7170550419;3,43632529802596;6,33805602054899;32,8317136127316;5,32565700789716
;6;6;316,68627169;31622,7766013657;4,17254455609373;6,87424418115757;37,3716221290087;5,46306736088722
;7;7;317,60286669;25118,8643150248;5,12251312774513;7,6381487246145;42,1171375349567;5,66578990039421
;8;8;319,33938453;19952,6231495358;6,21352429539543;8,53938922696979;46,6881580778955;5,857754194247
;9;9;320,29109525;15848,93192441;7,59042920257596;9,74880333711893;51,1326731624491;6,11756087231694
;10;10;321,78185317;12589,2541178838;9,29890814937825;11,3054181127169;55,3376398375963;6,42983560697885
;11;11;323,14362285;10000;11,3874805950341;13,2757192250414;59,066835369328;6,82422205382088
;12;12;324,04283779;7942,85714280639;13,9609166237665;15,7572634851556;62,3746863303655;7,30644643892351
;13;13;325,20900307;6309,99999982236;17,1055226492447;18,8456763346681;65,1843638204214;7,90952662346147
;14;14;325,86748071;5012,49999968914;20,9583911969647;22,6795107219079;67,5347196760144;8,66637438725845
;15;15;326,45215783;3980;25,7056848992672;27,4424460374994;69,5066119628189;9,60758077669151
;16;16;326,83319475;3162,85714280639;31,4870270871638;33,2885169334798;71,0641580834561;10,8024295805519
;17;17;327,44799923;2512,49999968914;38,5239162738858;40,4283337662199;72,3438694861683;12,2620571698028
;18;18;327,80157179;1993,33333309649;47,2756586591567;49,3565111082536;73,3035636133544;14,1801723234264
;19;19;328,23521221;1585,71428561278;57,7876074731355;60,1036719608367;74,0424203998439;16,5240372096736
