Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;310,75611442;100000;1,44890413815921;3,5163925555706;24,3332233362274;3,2040120791435
;2;2;313,42562556;79432,8234721399;1,71491142210967;3,68036548046717;27,7725157463745;3,25640428757427
;3;3;314,52799848;63095,7344477959;2,00211258519789;3,89148622606471;30,963060102159;3,3369462452733
;4;4;316,13030096;50118,7233625298;2,41214853623512;4,19206358614339;35,1282366359117;3,4285472943228
;5;5;317,73641848;39810,7170550419;2,88468043736605;4,58670065818469;38,9706903674534;3,56601201653465
;6;6;318,70345824;31622,7766013657;3,46783685989851;5,07749025326899;43,0771460777917;3,70877537539966
;7;7;320,01925324;25118,8643150248;4,17937025764768;5,71744896802989;46,9690458530156;3,90154930143346
;8;8;321,62667108;19952,6231495358;5,06470868494146;6,53140246452017;50,8449131644806;4,12406887554254
;9;9;322,3794818;15848,93192441;6,1273790744826;7,54663368904785;54,2854589393705;4,40532697018788
;10;10;326,8442148;12589,2541178838;7,47031008863747;8,84901469527269;57,5859839088528;4,74336676388757
;11;11;328,28508448;10000;9,03430149522068;10,4041996029804;60,2654046278476;5,16030676143494
;12;12;329,74939938;7942,85714280639;10,931961009934;12,3130928840508;62,6021002908715;5,66608196627481
;13;13;330,8675647;6309,99999982236;13,240859217655;14,6449602159587;64,7055505507584;6,25735622329858
;14;14;331,48234234;5012,49999968914;16,0149407626025;17,4792130226487;66,3806959852708;7,00318215252643
;15;15;332,37521946;3980;19,4188800388278;20,9511374507425;67,9513120315351;7,86493855777148
;16;16;332,80345634;3162,85714280639;23,516660639708;25,1522501609716;69,2236924869043;8,92201549633857
;17;17;333,33386082;2512,49999968914;28,5250099281303;30,2792688838044;70,4011226305818;10,1566693722792
;18;18;333,69923338;1993,33333309649;34,6534424157568;36,5713387215953;71,3621316442396;11,6876749025407
;19;19;334,10187384;1585,71428561278;42,0418698601089;44,1509981483622;72,2187170798173;13,4830195491347
