Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\1 EIS 1A Li2SO4 Saturado\2-EIS frequency scan-FrequencyScan.txt;1;1;200249,999999822;368,421988;706,583997552439;4056,19552180521;10,0320309357373;3994,17840932469
;2;2;158860,485739096;369,45824614;541,400077382124;4030,93162969519;7,71880348194077;3994,40806121354
;3;3;126183,269646263;371,01538272;461,360535822242;3987,48415067219;6,64412630391681;3960,70401669296
;4;4;100227,677540783;372,53858414;390,184476930829;4038,75477895401;5,54399769392929;4019,8627138854
;5;5;79611,0876933198;374,07429316;312,57588324507;4077,37779120225;4,39666575662322;4065,37894536327
;6;6;63235,2803058247;375,5631634;272,697026212882;4039,86460666937;3,87049565064506;4030,65036589811
;7;7;50227,936726169;376,9131626;232,456666857851;4064,29217284021;3,27881402088266;4057,63906283488
;8;8;39896,1721300446;378,40277604;188,913033496366;4121,08311980159;2,62739518217154;4116,75089677391
;9;9;31689,6264184765;379,66321076;157,336007250454;4067,92516969903;2,21659393218076;4064,88137183527
;10;10;25171,1472286302;381,00544748;134,226693368479;4122,16954687805;1,86600348245621;4119,9836125883
;11;11;19993,5033766323;382,585693;114,072783294579;4082,80807569994;1,60104015946098;4081,21418000968
;12;12;15880,8882903356;383,49391408;106,34205486633;4082,38961160027;1,49266502704478;4081,00432593113
;13;13;12614,2281387537;384,836461;88,1103566158796;4087,86691107252;1,23505550714808;4086,91723034595
;14;14;10019,5120464972;386,50209332;81,4337192060561;4012,46801690912;1,16290740843142;4011,64157622474
;15;15;7958,3333331853;387,52373662;66,1880459654785;4072,62109956725;0,931209301282103;4072,08322154786
;16;16;6321,42857140319;388,83979542;62,559776767271;4031,94623065495;0,889038397162247;4031,46086192381
;17;17;5021,42857140319;389,9385719;59,825352667519;4004,04773548294;0,85610062361722;4003,60077869963
;18;18;3986,66666654824;390,51336018;50,7165930576288;4050,28605648065;0,717461096513952;4049,96851426158
;19;19;3168;391,42693024;44,6857368573193;4049,36455799343;0,632285894923577;4049,1179914217
;20;20;2513,99999982236;391,76423524;40,8006308819729;4057,32228925895;0,576178865232869;4057,11713750505
;21;21;1993,33333309649;392,4628737;37,7538057914941;4029,11485637708;0,536883525336013;4028,93797123097
;22;22;1586,66666654824;392,85238062;35,5518050589554;4057,54820588148;0,502025939007206;4057,3924523281
;23;23;1265,99999982236;393,32692126;35,0581024719985;4072,91235706931;0,493186677831257;4072,76147077372
;24;24;1006,66666654824;393,6901667;36,2446237866904;4085,45141061844;0,508313771526699;4085,29063296245
;25;25;793,333333096486;394,0385805;29,049229213025;4058,14866019887;0,410140826718524;4058,04468809253
;26;26;629,999999822364;394,35780034;31,5735795207304;4082,76759613068;0,443094259008927;4082,64550911427
;27;27;506,666666548243;394,67001694;30,4442318467635;4079,43908160165;0,427593635373197;4079,32547968977
;28;28;393,333333096486;395,00704166;32,6854403201444;4102,83072176192;0,456454998670949;4102,70052446245
;29;29;317,142856838339;395,48671988;32,8949984458676;4094,71296725623;0,460292300464884;4094,58083364996
;30;30;257,142856838339;395,78522704;35,5865478342051;4117,39090636937;0,495212728401225;4117,23711649772
;31;31;193,333333096486;396,10291518;33,3822985537818;4071,79457922773;0,469740358303396;4071,65773580879
;32;32;157,499999777955;396,42984478;43,3143839380794;4100,55759397866;0,605229286113238;4100,32882165323
;33;33;125,999999822364;396,7711305;44,0977831220158;4094,71722516472;0,617054991145626;4094,47976421723
;34;34;106,666666548243;397,10927118;52,1880899748559;4095,98122448573;0,730041970989522;4095,64873916262
;35;35;80;397,42079934;53,6871914509957;4114,59659375517;0,747615641897477;4114,2463240326
;36;36;65,9999998223643;397,7343003;61,8028195139132;4156,83989978064;0,851890204143224;4156,38044022783
;37;37;53,9999998223643;398,08275798;81,4966124605396;4176,07234260602;1,11820581393375;4175,27705821259
;38;38;40;398,3968713;85,7834351028254;4139,91677926739;1,18731386032841;4139,02792229306
;39;39;29,9999998223643;398,69003446;116,535406370891;4167,88577920652;1,60221695056756;4166,25627723186
;40;40;25,7142856127796;398,97680126;122,723187110638;4228,15299075618;1,66325777741749;4226,37158004189
;41;41;20;399,26467762;156,442943840807;4217,02186388615;2,12604487284276;4214,11900707802
;42;42;17,1428568383388;399,55166398;199,477820291766;4215,53294596309;2,71223282223885;4210,81068414527
;43;43;12;399,83294398;220,813705333162;4233,31384373847;2,98995962159097;4227,55099403009
;44;44;9,99999982236431;400,10251686;269,073608626526;4268,86830648807;3,61384043138177;4260,37979660018
;45;45;8,57142841916941;400,3918517;314,732643787911;4307,54655236489;4,19007328296564;4296,03313112515
;46;46;5,99999982236432;400,71247714;456,65699989825;4362,13415112186;6,00911064243579;4338,16536531603
;47;47;4,99999973354647;401,07832294;524,259878118678;4402,93238395074;6,83846832681752;4371,60898958692
;48;48;3,74999980015985;401,49202126;663,533047551134;4530,02716531743;8,42266822642855;4481,16837591731
;49;49;3,15789458725416;401,97690194;759,604113527022;4458,61962665931;9,80919001877753;4393,43721543217
;50;50;2,49999986677324;402,5179997;885,508642833298;4600,17503123282;11,098399463839;4514,14274934294
;51;51;1,99999982236431;403,16406782;1104,14379338692;4657,42505091645;13,7137754335126;4524,65187483294
;52;52;1,5789471159914;403,91663382;1388,4268906551;4760,4994090902;16,9571076930547;4553,5288945228
;53;53;1,24999993338662;404,83122686;1701,70175800982;4992,93100971272;19,926975172953;4693,99309698439
;54;54;0,999999733546472;405,9208631;2025,32476381296;5129,12291262037;23,2577206292296;4712,32017734929
;55;55;0,794818438122252;413,14426776;2485,61237709013;5384,54317800176;27,4916873061326;4776,50880315547
;56;56;0,631326106343912;415,75601646;3017,78551894298;5802,48641466859;31,3379460412203;4955,98821165583
;57;57;0,501463762453483;418,74375024;3649,12862358316;6325,17765923517;35,2342812032377;5166,40423403297
;58;58;0,398313917604931;422,20904514;4396,41917986497;7026,39388778029;38,7336313488816;5481,03178800776
;59;59;0,31638158951786;426,25672722;5294,49541456174;7942,22161398242;41,8072275166247;5920,06777586154
;60;60;0,251302624682709;431,03850002;6353,43319473362;8974,61372969009;45,0670584900802;6338,57856598771
;61;61;0,199610285070635;436,74736822;7582,46416920027;10354,5571435786;47,078112752738;7051,46018654502
;62;62;0,158550862292465;443,65372984;9023,40878693863;11832,4805820635;49,6936412015249;7654,1289895526
;63;63;0,125937305794236;452,06392206;10695,864697288;13734,2669744403;51,1482921957848;8615,60025201432
;64;64;0,100032338576458;473,60051274;12676,5783197576;15891,4557758397;52,9108114894487;9583,46121077979
;65;65;0,0794557313665273;486,19311424;14902,6954697074;18382,4462712133;54,1646261659281;10762,1558551811
;66;66;0,0631118272592439;501,7573379;17565,6232827784;21477,5220516059;54,8712210254255;12358,5125385191
;67;67;0,0501298561266415;521,03153034;20750,1981767834;25100,6220800976;55,7592535463121;14123,4027214441
