Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\1 EIS GC 0.1A LiCl saturado 1000\2-EIS frequency scan-FrequencyScan.txt;1;1;1321,99741355;200249,999999822;70,0132449040619;1280,00997845919;3,13549617815022;1278,09377218305
;2;2;1322,88467167;158860,485739096;58,9467017859331;1285,46470005528;2,62829622395615;1284,11244890655
;3;3;1325,56330825;126183,269646263;34,5085287007301;1250,48349805283;1,58134361249723;1250,00725611868
;4;4;1326,48980967;100227,677540783;29,0526079611684;1241,48704232173;1,34092723509567;1241,14705906408
;5;5;1327,82771869;79611,0876933198;23,0398157236321;1258,85919866001;1,04869385866399;1258,64834204886
;6;6;1328,57938893;63235,2803058247;19,1602513262895;1244,46028510002;0,882185575163119;1244,31277658004
;7;7;1329,81038813;50227,936726169;9,69328254057996;1272,81393197032;0,436347791226859;1272,77702119866
;8;8;1331,35240157;39896,1721300446;13,238762052007;1249,23327239791;0,607203960230041;1249,16312147186
;9;9;1332,32653629;31689,6264184765;11,6197607173723;1264,12812812969;0,526665461200733;1264,07472306409
;10;10;1333,58937301;25171,1472286302;10,8905658289996;1250,27624067227;0,499082785943571;1250,22880848487
;11;11;1334,90201853;19993,5033766323;10,3861883213957;1243,93664497795;0,478393873906154;1243,89328473593
;12;12;1336,12983961;15880,8882903356;10,4967398923964;1269,61344640718;0,473707763562432;1269,57005389603
;13;13;1337,51658657;12614,2281387537;10,9823059273134;1277,81286946841;0,492441061568796;1277,76567426724
;14;14;1338,74131885;10019,5120464972;11,8954720125904;1299,20608738929;0,524604888567902;1299,15162904681
;15;15;1339,71326215;7958,3333331853;13,0732572802414;1288,50557205916;0,581336499335275;1288,43924931352
;16;16;1340,47212095;6321,42857140319;15,0572364641281;1301,82503260268;0,662712204412648;1301,73795179407
;17;17;1341,21859743;5021,42857140319;17,6635370584366;1305,45001831711;0,775270591394003;1305,33051361819
;18;18;1341,98028571;3986,66666654824;20,4785680808484;1315,45106679273;0,89200043240571;1315,29165487183
;19;19;1342,50615577;3168;24,4015478010834;1326,82117470067;1,05378520813719;1326,59677147918
;20;20;1342,97306077;2513,99999982236;29,6668888993072;1321,51709404616;1,28634759009981;1321,18405438426
;21;21;1343,64099923;1993,33333309649;36,1763891439926;1324,63733403658;1,56496583088441;1324,14324587336
;22;22;1344,00700619;1586,66666654824;44,0170821944164;1320,17568527928;1,91070065319378;1319,44167604245
;23;23;1344,37454679;1265,99999982236;53,634293613261;1310,24462120679;2,34603330605376;1309,14641272469
;24;24;1344,73449223;1006,66666654824;65,5249547884292;1299,28137008993;2,8907492203164;1297,62805108504
;25;25;1345,08170603;793,333333096486;80,9515089578373;1301,99317125936;3,56466796691574;1299,47415180274
;26;26;1345,70802587;629,999999822364;98,9477224287248;1338,67288059188;4,23887117058791;1335,01102222353
;27;27;1346,01834247;506,666666548243;120,007283327521;1343,70170529001;5,1239681209284;1338,33199347084
;28;28;1346,35446719;393,333333096486;149,763908378824;1349,76584971547;6,37039732296152;1341,43155651163
;29;29;1346,67204541;317,142856838339;181,020195992963;1353,51146654417;7,68583367819093;1341,35192202092
;30;30;1346,96975261;257,142856838339;217,786661226077;1361,11211635716;9,20726819032694;1343,57551461995
;31;31;1347,28374071;193,333333096486;279,358416746019;1377,0876233913;11,7043569772097;1348,45437352943
;32;32;1347,60547031;157,499999777955;334,469784622047;1394,02547024902;13,8824620165231;1353,3059428222
;33;33;1348,02185603;125,999999822364;405,691939225012;1429,24350935267;16,4901686970588;1370,45651498856
;34;34;1348,36049671;106,666666548243;468,964026008925;1470,77551178975;18,5936901677594;1394,0062225076
;35;35;1348,66442487;80;600,287850053261;1538,74912474754;22,9616040795515;1416,82862971842
;36;36;1348,97632583;65,9999998223643;709,379177704072;1615,28399579005;26,0507347097974;1451,1800609488
;37;37;1349,32038351;53,9999998223643;841,707013734828;1715,03488728938;29,39194565101;1494,28041801038
;38;38;1349,63129683;40;1082,88826757493;1900,28430211007;34,7401795345396;1561,54840744517
;39;39;1349,91015999;29,9999998223643;1375,31502532396;2148,48741038863;39,8016451420052;1650,60798911086
;40;40;1350,21022679;25,7142856127796;1564,15776380174;2313,90527580736;42,5304360848518;1705,1592639246
;41;41;1350,49540315;20;1928,53142407833;2626,25233654827;47,25048910308;1782,68558124187
;42;42;1350,78058955;17,1428568383388;2194,73805730803;2881,60425854659;49,6087756532043;1867,28893390327
;43;43;1351,05856951;12;2969,59780969011;3606,31221330818;55,4310987573384;2046,21030897106
;44;44;1351,32784239;9,99999982236431;3469,75890410535;4089,72182058568;58,0390985194904;2164,85512613576
;45;45;1351,61427727;8,57142841916941;3956,12514546145;4575,14158508942;59,8484722185086;2298,04141761243
;46;46;1351,93400267;5,99999982236432;5316,57927612967;5964,41528686971;63,0475705321811;2703,37465307226
;47;47;1352,30564847;4,99999973354647;6183,36981695759;6845,03912398979;64,6000857703384;2936,06851345278
;48;48;1352,71894679;3,74999980015985;7907,12576218144;8584,1348124468;67,0922147435054;3341,36688487028
;49;49;1353,19062747;3,15789458725416;9160,71840161266;9864,38824628334;68,2277585883418;3658,87876811572
;50;50;1353,73062523;2,49999986677324;11231,9754408779;11965,3101450868;69,8363002020199;4124,48476341391
;51;51;1354,36319335;1,99999982236431;13542,2776592595;14360,7741954997;70,5624397022789;4778,96968955143
;52;52;1355,11445935;1,5789471159914;16423,2492746976;17369,6077567446;70,9996199544516;5655,10007730245
;53;53;1356,01715239;1,24999993338662;19947,299492947;20986,1896507254;71,8964507899325;6521,15012822796
;54;54;1357,11458863;0,999999733546472;23859,9170608278;25118,6054731482;71,784990012213;7851,66853389071
;55;55;1361,85084437;0,794818438122252;27263,0877333935;28777,5528412516;71,3291708799379;9212,57807415027
;56;56;1364,46169303;0,631326106343912;32740,5423339832;34539,2985034565;71,4275128961212;11000,9103617623
;57;57;1367,43962681;0,501463762453483;39533,4987207695;41653,6031044624;71,6409807955448;13119,6467360594
;58;58;1370,90032175;0,398313917604931;47293,621025221;49722,8140266044;72,016469542204;15351,6007324012
;59;59;1374,94790379;0,31638158951786;57339,5688446191;60199,1458724331;72,269226212639;18333,3305344027
;60;60;1379,72617659;0,251302624682709;69999,2290090554;73051,4332969748;73,3791242675308;20895,4503392529
;61;61;1385,43344479;0,199610285070635;84037,3825753332;87931,8099469203;72,8839919045478;25878,9785429874
;62;62;1392,32040641;0,158550862292465;102873,983826479;107286,247284684;73,510933289731;30451,3104496271
;63;63;1400,69579867;0,125937305794236;124704,640203443;130196,572581475;73,2991335918366;37415,2405269958
;64;64;1410,93482219;0,100032338576458;149435,266367636;156353,909368714;72,8916420473636;45996,1535404195
;65;65;1423,52172369;0,0794557313665273;179318,160250852;187984,357515086;72,5347912892293;56419,1108987855
;66;66;1439,08454735;0,0631118272592439;215333,519388509;226718,177656407;71,7657138048568;70940,8733213857
;67;67;1458,35633979;0,0501298561266415;258330,081029946;272300,410487399;71,5672001975306;86099,2612434461
;68;68;1482,33009761;0,0398184598826237;309837,847140011;328704,305983754;70,4934894436868;109758,959779622
;69;69;1578,53936179;0,0316276784463699;366425,711420191;389108,130352277;70,3401688241152;130909,644856487
;70;70;1615,84183823;0,025121949118212;458240,435227298;485024,174421882;70,870191655512;158947,014115788
;71;71;1662,51673257;0,0199545270409918;523702,006384522;556399,757132471;70,2597234504755;187927,907043895
;72;72;1721,03277401;0,0158497216315589;620582,639397621;666318,297664671;68,6479177462847;242605,155512053
