Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\1 EIS GC 10A Li2SO4\2-EIS frequency scan-FrequencyScan.txt;1;1;100000;318,58778493;2,90458750650455;24,8729536918209;6,70612705724551;24,7027771064819
;2;2;79432,8234721399;321,27219607;2,75019281454805;24,9391090577811;6,33124362203753;24,7870046612878
;3;3;63095,7344477959;322,37536899;2,73501378571659;25,0521519933034;6,26763379731538;24,9024099052183
;4;4;50118,7233625298;324,06367147;2,75829943562334;25,1956647909395;6,28506173995551;25,0442270489794
;5;5;39810,7170550419;325,74028899;2,97770003416302;25,3774328979705;6,73841121748077;25,2021309217602
;6;6;31622,7766013657;326,57922875;3,25808087848722;25,6080259564828;7,30949001266186;25,3999193380044
;7;7;25118,8643150248;328,24412375;3,63053087575217;25,8760541879635;8,06547574163321;25,6200980852657
;8;8;19952,6231495358;329,61474159;4,12394525465812;26,2053981290584;9,0542783194942;25,8788710464548
;9;9;15848,93192441;330,52345231;4,73054683431785;26,5962578795236;10,2454342234105;26,1721772086781
;10;10;12589,2541178838;331,73681027;5,4808500671586;27,0793396970418;11,6773217957138;26,5188785767632
;11;11;10000;333,39667995;6,39552431798981;27,6523704612316;13,37262147236;26,902618103508
;12;12;7942,85714280639;334,29939485;7,50625235164818;28,3440861346976;15,3566168774026;27,3320945857527
;13;13;6309,99999982236;335,25836017;8,85803157233008;29,1902901553606;17,6654267986484;27,813815200683
;14;14;5012,49999968914;336,02143781;10,5074124703005;30,237176265813;20,3344672772806;28,3527972466355
;15;15;3980;337,03441493;12,5360887651124;31,5842031777136;23,3851545279381;28,9897976682197
;16;16;3162,85714280639;337,47175181;15,0028852704626;33,2536201223749;26,8184841425553;29,6768712098253
;17;17;2512,49999968914;338,01435629;18,0462826036685;35,4109350841993;30,6388258466022;30,4674581763217
;18;18;1993,33333309649;338,48092885;21,7959579263352;38,2183287867177;34,7712304781812;31,3938986639615
;19;19;1585,71428561278;339,23536931;26,3471190446522;41,8233842978967;39,0472770833715;32,4811451795727
;20;20;1253,99999982236;339,57884485;32,0701655527614;46,6087075644456;43,4777161246205;33,8212374440451
;21;21;1006,66666654824;339,94298857;38,6064052639762;52,3291604207271;47,5410210631829;35,3254370522408
;22;22;793,333333096486;340,39020237;47,2534177832792;60,2009946578268;51,7139757754932;37,2997890823871
;23;23;629,999999822364;340,70932221;57,510400945773;69,855039796901;55,4147029195833;39,6519907203038
;24;24;506,666666548243;341,02463881;69,2901222867394;81,1825272015454;58,595545606359;42,3022656168481
