Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;308,59024328;300249,999999822;2,92096978066633;11,3834255000547;14,8683237868847;11,0022866557698
;2;2;309,70274422;237888,189591632;2,35004470866536;10,9984893935174;12,3374973864635;10,7444896950292
;3;3;310,51231776;188239,6971745;2,00206839340538;10,895983429481;10,5878966276275;10,7104704398851
;4;4;311,40916216;149109,802819593;1,84671298115416;10,8492114557682;9,80039730112515;10,6908858555879
;5;5;312,73024942;118113,945307927;1,7567444095008;10,7877919539071;9,37210355687087;10,6437918206093
;6;6;314,47801704;93561,2804282157;1,73640027526852;10,7833750370192;9,26643523598666;10,6426543340022
;7;7;315,25381236;74112,4443229811;1,80383808158562;10,8545087687424;9,56598163538965;10,703575514104
;8;8;316,19609504;58706,4903169456;1,9618304966223;10,9420967878488;10,3285239552605;10,7647899755255
;9;9;318,22874068;46503,0135872647;2,21066678414093;11,0611262098558;11,528719997751;10,8379640800224
;10;10;318,85754436;36836,3065313355;2,54275660983333;11,2090613370702;13,1115892223705;10,9168422577846
;11;11;320,6266284;29179,0439846384;2,96356389193903;11,4011601341334;15,0662226543991;11,0092570804095
;12;12;321,9467066;23113,5172883486;3,53970079816996;11,6772489427472;17,6455736506453;11,1278327238652
;13;13;322,63843044;18308,8480117993;4,25239383136543;12,0307773132481;20,6990668054098;11,2541880855053
;14;14;323,585385;14502,9383166301;5,14793655502595;12,5095449447515;24,3003979651983;11,4012044955866
;15;15;324,65150272;11488,1733511123;6,27663144919184;13,1642149993205;28,4762845907389;11,5715363802458
;16;16;325,42430764;9100,09572289686;7,68512224853677;14,0553258388977;33,1461490700224;11,7682233350082
;17;17;326,36923214;7208,33333300767;9,44461451923754;15,2715372997104;38,2027100658226;12,000796143567
;18;18;327,25184534;5709,99999982236;11,6352557354078;16,9135919267524;43,4659522779337;12,275602463275
;19;19;327,92791436;4522,49999986677;14,3818693287604;19,1281274444702;48,7526425767109;12,6113874788761
;20;20;328,4682173;3582,85714280639;17,7811156806535;22,0287397770735;53,8211305289163;13,0037418198471
;21;21;329,23038794;2837,14285683834;22,0306583238949;25,8256698061145;58,5452708370351;13,4764726375359
;22;22;329,60369238;2244;27,3478050834081;30,7456131258882;62,8087803554423;14,0495652461813
;23;23;329,93139846;1781,99999982236;33,8551956552376;36,9200312649282;66,4895292607772;14,7280153363874
;24;24;330,2823403;1409,99999982236;42,0707104740538;44,8621788180979;69,6814891900053;15,5778820291888
;25;25;330,5694174;1116;52,2948462235285;54,8811735127524;72,340103598942;16,6490920051019
;26;26;330,86526434;884,999999733546;64,9345758411231;67,3563700845672;74,5891415837937;17,8992025325882
;27;27;331,45454454;706,666666548243;80,1086926109221;82,4319730755853;76,3646611302847;19,4326414391565
;28;28;331,77809482;557,142856838339;100,115852292518;102,378746320115;77,9310903426885;21,4061630803193
;29;29;332,0733522;440;124,894316529077;127,147205692001;79,1981662376952;23,8290078269926
;30;30;332,3991207;342,85714280639;157,93688428723;160,253614729017;80,2457010534985;27,1507203469534
;31;31;332,69752038;274,285714031949;194,587825789912;197,052096724935;80,9292130942282;31,06616934944
;32;32;332,98930106;220;239,060121633329;241,696189380276;81,5301342910973;35,5992444527122
;33;33;333,28101264;171,428571225559;302,754748224798;305,743528431176;81,9821042745002;42,6458392446985
;34;34;333,5772465;137,142856838339;372,14799458375;375,594732565951;82,231901988852;50,7668519664317
;35;35;333,85794326;108;465,279782613355;469,332459071445;82,465033813187;61,5441388705589
;36;36;334,13646434;85,7142856127796;579,960942475274;584,807197560642;82,6186672934741;75,1316412833075
;37;37;334,43180074;68,5714284191694;712,030184367512;718,241053283996;82,4596387284666;94,2508735878404
;38;38;334,75075458;53,9999998223643;891,90770059798;899,182413936572;82,7068540353181;114,147567415277
;39;39;335,06979282;42,8571428063898;1110,45634556536;1120,69632130785;82,2487032985251;151,15207304756
;40;40;335,38075058;33,3333330964858;1392,55802596;1406,96556662642;81,7934215769126;200,833886599835
;41;41;335,68212978;29,9999998223643;1533,50281468668;1546,37026537157;82,6034575973143;199,073139758682
;42;42;335,97567278;22,4999998667732;1990,11024283436;2012,21287612249;81,4999591388471;297,425419557476
;43;43;336,27800518;17,1428568383388;2528,22735042481;2550,19392028874;82,474343641634;333,999244971593
;44;44;336,55438514;12;3470,27101422846;3521,44397369278;80,2203156816062;598,152779532944
;45;45;336,83245806;9,99999982236431;4076,31629619658;4098,30936049671;84,0615577123093;424,010692904283
;46;46;337,1187929;8,57142841916941;4644,05076375874;4704,08010478032;80,8368459365433;749,107559581345
;47;47;337,43831834;5,99999982236432;7015,71167333859;7151,59821729552;78,8129810067197;1387,49658673639
;48;48;337,80036414;4,99999973354647;7612,06340418639;7637,81458028779;85,2937639671822;626,659631301652
;49;49;338,19663386;4,28571420958471;8669,26456087156;8725,62643389808;83,4842249862039;990,155865284526
;50;50;338,6433561;3,33333327412144;11720,8307740552;11986,3877919304;77,9169256342385;2509,10706517247
;51;51;339,1648893;2,6086954977081;12960,4906286839;13589,7738059176;72,4956960725601;4087,49737122839
;52;52;339,78029802;2,06896545598769;17636,5829538537;17689,3935061281;85,5715716840892;1365,86394874692
;53;53;340,52260202;1,62162160241776;21681,7780902347;22098,4100656586;101,143410161162;-4270,85779157096
;54;54;341,40803042;1,27659554814775;23931,6652483617;28716,1361818824;56,4482917990012;15871,101904303
;55;55;342,4795073;1,0169490200683;23956,4398319719;24340,7635570579;79,8048827608582;4308,33623545212
;56;56;347,15982536;0,814413785808135;42240,1207806226;42746,0773722136;81,1757982442627;6557,38721974596
;57;57;349,7399021;0,645119162014314;47196,3864479638;47221,1756843504;88,1433937521585;1529,88210877349
;58;58;352,69026964;0,511016654322467;62639,0420116679;62805,8232363251;85,8235488504316;4574,04069210336
;59;59;356,10005258;0,404790159409376;74171,2728888784;74180,3273869007;90,895220181319;-1158,98631195575
;60;60;360,09786782;0,320645201229701;80673,7176257231;85279,3723106668;71,0837288128107;27646,3854083387
;61;61;364,82601234;0,253991673682536;-141073,60560394;222670,066710903;-140,687149014983;-172279,413775826
;62;62;370,49998476;0,2011937295669;367187,517263222;371138,614464973;98,3678610035244;-54011,094351539
;63;63;377,3558183;0,159371183885885;205943,369950985;207284,742796742;83,4782643030805;23543,4273108863
;64;64;385,69051294;0,12624212862973;144911,944191602;180945,882937709;126,787893652113;-108360,237092381
;65;65;395,93126354;0,0999996536104142;250411,368482076;265048,234132336;70,869850427813;86860,3071120738
