Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\2 EIS GCT\2-EIS frequency scan-FrequencyScan.txt;1;1;100000;517,41522032;2,45644448092498;2,58547262356895;71,8225582731375;0,806566301898193
;2;2;79432,8234721399;519,33273148;2,3864069995819;2,67525703496256;63,1293346506834;1,20915748993387
;3;3;63095,7344477959;520,50760436;2,26970601341857;2,7803482832251;54,7199493053239;1,60585528260935
;4;4;50118,7233625298;521,74560688;2,1141125532103;2,88197796588466;47,1859349576611;1,9586539020979
;5;5;39810,7170550419;523,30752432;1,95114831295253;2,99320942019115;40,6818543911801;2,26987288057802
;6;6;31622,7766013657;524,22426416;1,77564698862905;3,059915365057;35,4711423397775;2,49201922405998
;7;7;25118,8643150248;525,39865912;1,64432956862445;3,14229753824989;31,5531272427971;2,67772554393437
;8;8;19952,6231495358;527,003077;1,53986129040369;3,21994084169544;28,5696409576605;2,82786955681032
;9;9;15848,93192441;527,86778772;1,48998123360186;3,3069395356986;26,7797458893183;2,95225422622794
;10;10;12589,2541178838;529,17934564;1,48458496768581;3,4000409911647;25,889528334334;3,0588047036909
;11;11;10000;530,48371532;1,52852574214602;3,50714984514268;25,8382037846805;3,15653434828156
;12;12;7942,85714280639;532,13923022;1,62670562979167;3,63751729761716;26,5643192931341;3,25351515817402
;13;13;6309,99999982236;533,04769554;1,78081069038888;3,79828027407129;27,9594511213893;3,35494356515811
;14;14;5012,49999968914;533,85397318;1,99680491262829;3,99634245426541;29,9773832337947;3,46172257014736
;15;15;3980;534,3863503;2,28443629340506;4,24864088581588;32,5262784538081;3,58222000971466
;16;16;3162,85714280639;534,94128718;2,65143922209451;4,56262063683818;35,5294967766252;3,71313575394712
;17;17;2512,49999968914;535,3837917;3,11488605636123;4,96030768878892;38,8999417180282;3,86032864188334
;18;18;1993,33333309649;535,84776422;3,69640994931891;5,47013637891502;42,5119259308971;4,03223827303221
;19;19;1585,71428561278;536,19910468;4,41342941473432;6,10898748040194;46,2570126677761;4,22390445404077
;20;20;1253,99999982236;536,68428022;5,32190473444459;6,94491878178401;50,0229578143236;4,46197567038107
;21;21;1006,66666654824;537,04192394;6,36083434844215;7,92725865336125;53,3599248095603;4,7308790038395
;22;22;793,333333096486;537,39043774;7,71425150642996;9,22741323500753;56,7216258749443;5,06314908975978
;23;23;629,999999822364;538,27509478;9,44643965289883;10,9271526686445;59,8247862521283;5,49248972033678
;24;24;506,666666548243;538,58631138;11,290025484741;12,7636913745295;62,1952544958763;5,95375025157554
;25;25;393,333333096486;538,92173614;13,940275985645;15,4255075076123;64,6508842827878;6,60416439161331
;26;26;317,142856838339;539,23991436;16,7049995631638;18,2341856506222;66,3676170484079;7,30948123576875
;27;27;257,142856838339;539,54042152;19,9470606644924;21,5399648368309;67,8270548159409;8,12925925401387
;28;28;193,333333096486;539,89190962;25,3553852633142;27,0840501171876;69,4186584518772;9,52104032652074
;29;29;157,499999777955;540,21443922;30,1301360975663;32,0064699368747;70,2840079842023;10,7976393976738
;30;30;125,999999822364;540,54452498;36,3840074692639;38,4317042131674;71,2123238210994;12,3773942817111
;31;31;106,666666548243;540,88446562;41,8594351187893;44,0812680927334;71,7313044602992;13,8183171261665
;32;32;80;541,18989382;53,2202906505985;55,8741097905923;72,2702708129062;17,0151934445946
;33;33;65,9999998223643;541,50259474;62,6563295711274;65,6154122407192;72,7273472762562;19,48247130612
;34;34;53,9999998223643;541,84965246;74,2252029028136;77,6218693011936;72,9874824616204;22,7106549409682
;35;35;40;542,16316574;95,2569675958027;99,5094316978391;73,1893424065718;28,7791091119773
;36;36;29,9999998223643;542,4427289;120,978448751293;126,240258057347;73,3993004437247;36,0668503215402
;37;37;25,7142856127796;542,7290957;137,541951790008;143,595149271896;73,3045656354007;41,2526167923078
;38;38;20;543,0171721;169,300750800097;176,88067259396;73,1657781720588;51,2252683332693
;39;39;17,1428568383388;543,31355846;192,086874565583;200,569199786373;73,2773327371228;57,711667126951
;40;40;12;543,59353842;257,580034673544;269,667157048056;72,7804921576146;79,8304536374243
;41;41;9,99999982236431;543,86471134;298,347768149392;313,057180417351;72,3664891590141;94,8335776565372
;42;42;8,57142841916941;544,15294618;340,601111110605;357,533668916057;72,296077016559;108,725376609133
;43;43;5,99999982236432;544,48307162;450,60807981318;475,26552969705;71,4630054678541;151,094944075891
;44;44;4,99999973354647;544,84881742;521,392775641344;551,145413468135;71,0878624417929;178,636055419885
;45;45;3,74999980015985;545,26361574;650,941255991719;691,491189113942;70,2810008827732;233,314264180604
;46;46;3,15789458725416;545,74629638;747,524743400916;796,30550651887;69,8412116249835;274,425249777912
;47;47;2,49999986677324;546,28699414;891,565305717502;953,461643111889;69,2414789832135;337,935512378441
;48;48;1,99999982236431;546,92906226;1048,23356221544;1126,13764001845;68,5632965491876;411,573059506409
;49;49;1,5789471159914;547,68182826;1240,9245570524;1345,07127609923;67,3049756051361;518,963372013405
;50;50;1,24999993338662;548,59562134;1458,48412039372;1591,1874108976;66,4341365949912;636,161494558066
;51;51;0,999999733546472;549,69445758;1730,67494982597;1905,98853864691;65,233093638605;798,471369241407
;52;52;0,794328163631598;554,46188984;2055,35950882156;2262,25086644814;65,3052188513398;945,132938925609
;53;53;0,630957334661811;557,08271506;2396,43325535892;2659,36371438109;64,3070418389453;1152,96271317707
;54;54;0,501187006056222;560,0703746;2818,67103898597;3151,92496163997;63,4147806032176;1410,57595959624
;55;55;0,398107149667568;563,5361707;3282,33420462807;3693,1113865231;62,7193474479525;1692,73562093883
;56;56;0,316227757014633;567,5844567;3805,91430576646;4319,24924480815;61,7816196640625;2042,28556669679
;57;57;0,251188582572927;572,3664671;4396,60110661484;5039,19063349052;60,7483106696055;2462,38521559317
;58;58;0,199526085755936;578,08384194;5084,30051286941;5875,33689314822;59,9242073128379;2944,39669589958
;59;59;0,158489045074078;584,97531764;5926,38908149413;6876,34936140649;59,5250610143643;3487,41924564034
;60;60;0,125892186330241;593,36976994;6928,76435137037;8057,10742150968;59,3117332442963;4112,08032082613
;61;61;0,0999996536104142;603,6233393;7859,6525363826;9213,21496208776;58,5487782566077;4807,2020911308
;62;62;0,0794326387274748;616,21750824;9019,87361753425;10763,7239420615;56,9282839642647;5873,63882313314
;63;63;0,0630954847762221;631,79369082;10643,9723326076;12546,7481459705;58,0321271710718;6642,79625015689
;64;64;0,0501184874428002;651,08598726;11720,2167781939;14071,5829704655;56,3977664747712;7787,5519880663
;65;65;0,0398106439124828;675,07227008;14167,5880007849;16896,5014443218;56,9812612393781;9207,12828725572
;66;66;0,0316227046471893;705,02531386;15829,2979280958;18860,0506128938;57,0665960222941;10253,5279891606
;67;67;0,0251187516758817;742,3437633;17604,3897450701;21593,9801337364;54,6116189300289;12505,4164152927
;68;68;0,0199523954127716;789,03292468;21188,787375659;25242,1606729658;57,0789773652428;13718,6721292162
;69;69;0,0158486558174488;847,56382008;25344,7130862957;30618,5603104945;55,868963907845;17179,6901619539
;70;70;0,0125890409973391;920,83545286;27811,3062685656;34208,1908281869;54,3902192946747;19918,1214820499
;71;71;0,00999982325249341;1012,59685434;32714,9303529196;39422,6689008437;56,0834068638695;21997,2760874879
