Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;309,05495541;100000;0,803662465055794;2,65549967017815;17,6162831436517;2,53096920972514
;2;2;311,16046657;79432,8234721399;0,978796558699116;2,79806509046104;20,4758125478491;2,62128318713097
;3;3;312,06403945;63095,7344477959;1,1781252903227;2,90405898148057;23,9338898455987;2,65435102581027
;4;4;313,62324197;50118,7233625298;1,49374418289795;3,25428033080635;27,3231829633257;2,89120542119229
;5;5;315,73415941;39810,7170550419;1,73335385021777;3,24211896356775;32,3192362249117;2,73985762474272
;6;6;316,63829925;31622,7766013657;2,12275938630171;3,50325440172679;37,2964607785197;2,7868771036926
;7;7;317,87979421;25118,8643150248;2,59837691511636;3,86064617400152;42,3022820730313;2,85535046672435
;8;8;319,61321209;19952,6231495358;3,19861553961992;4,34405795259028;47,4188487465468;2,93933634093902
;9;9;320,39532281;15848,93192441;3,93680193581574;4,97960945733076;52,2401653163745;3,04927874516179
;10;10;322,06148073;12589,2541178838;4,85578440145443;5,80572713140767;56,7596339885672;3,18242444858554
;11;11;323,44315041;10000;5,98383474305089;6,86096250254747;60,7102430487548;3,35656494488332
;12;12;324,17186531;7942,85714280639;7,37990085584823;8,19844050313995;64,1789886075085;3,57092285570218
;13;13;324,99943063;6309,99999982236;9,09424427797701;9,87711165380968;67,0343941524245;3,85383648255935
;14;14;325,66460827;5012,49999968914;11,203867583126;11,9682197654701;69,4122676394415;4,20851939930988
;15;15;326,26038539;3980;13,808857757648;14,5740359335522;71,3513370528047;4,66025437304836
;16;16;326,64392227;3162,85714280639;16,9876247632909;17,7772335961126;72,8591524692848;5,23933576251616
;17;17;327,27432679;2512,49999968914;20,8833325513591;21,722620928751;74,0211529412541;5,979856316297
;18;18;327,63839931;1993,33333309649;25,6800636081903;26,6002683974775;74,8853924778147;6,93603718971724
;19;19;328,03993977;1585,71428561278;31,4614856653633;32,5030687925827;75,4558260095986;8,1623771453848
;20;20;328,38361531;1253,99999982236;38,752904162055;39,9561051527365;75,9035082215074;9,73153420500188
;21;21;328,74775903;1006,66666654824;47,0029136149285;48,415138546348;76,1273211306688;11,6082622372876
;22;22;329,38027283;793,333333096486;57,945060927769;59,6498311893736;76,2688868742361;14,1588232208013
;23;23;329,69399267;629,999999822364;70,7976754743781;72,9275310583853;76,1187164292572;17,4961119594153
;24;24;330,63055547;506,666666548243;85,4425054050957;88,0459741732032;76,0319729610623;21,2525725080178
;25;25;330,98248023;393,333333096486;105,994156034437;109,37977950047;75,7072738795885;27,0032414742897
;26;26;331,29835845;317,142856838339;127,686156639786;131,905448278535;75,4691659832065;33,0952064220997
;27;27;331,59566561;257,142856838339;152,194360902916;157,598270858805;74,9524845011321;40,9156631015329
;28;28;331,90745371;193,333333096486;192,913043449354;200,357277782647;74,3325247119929;54,1072677889062
;29;29;332,22888331;157,499999777955;228,985813224877;238,701097496214;73,5970372109804;67,4070566605537
;30;30;332,55716907;125,999999822364;274,097586692735;286,995602626377;72,7574489446529;85,0704936866818
;31;31;332,90290971;106,666666548243;313,207636262299;329,047723586399;72,1497308502555;100,863179527391
;32;32;333,20623791;80;389,939591954525;413,155652708426;70,7012142179725;136,545626042228
;33;33;333,51743883;65,9999998223643;450,37379351814;478,401426577105;70,2903888642666;161,342403177495
;34;34;333,86319655;53,9999998223643;527,115536710955;563,117115328656;69,4012699004823;198,11637119125
;35;35;334,17450983;40;659,968926140981;714,340742222012;67,500866718626;273,356383731229
;36;36;334,45167299;29,9999998223643;805,833666085541;876,070123334906;66,9009224247967;343,701852778212
;37;37;334,73723979;25,7142856127796;895,825724093423;980,484713116326;66,015574091226;398,555572922145
;38;38;335,03241619;20;1065,75723026209;1170,62497854572;65,5630828969392;484,277158803961
;39;39;335,31770255;17,1428568383388;1187,52536063525;1310,84043312355;64,9483859235282;555,055095427168
;40;40;335,59608251;12;1490,57673098465;1658,20369719826;64,0152261204538;726,512567302929
;41;41;335,87575543;9,99999982236431;1714,6555530147;1888,65738646354;65,2126535616188;791,822617736548
;42;42;336,16159027;8,57142841916941;1900,09082737138;2132,72611149393;62,9892289810743;968,594607866049
;43;43;336,48021571;5,99999982236432;2443,22006658774;2707,83012597827;64,4593563848395;1167,48434566743
;44;44;336,84156151;4,99999973354647;2801,768917437;3095,93119334624;64,8211596372605;1317,14877186223
;45;45;337,25255983;3,74999980015985;3401,65963599183;3766,33000498023;64,5787576797574;1616,77253417985
