Filename;Index;DataIndex;Time (s);Current applied (A);WE(1).Current (A);WE(1).Potential (V);Discharge capacity (Ah);Σ Capacity (Ah);Normalized WE.Current;Normalized Discharge capacity;Normalized Σ Capacity;Cycle
C:\Users\labor\AppData\Local\Temp\GCD corrigida USAR ESSE!\2-CC discharge-ConstantCurrentDischarge.txt;1;1;56,91999201;-0,000156999987666495;-0,000156609268742613;0,448400497436523;3,80624006387128E-10;2,23491108044982E-06;-0,997511265876519;2,42435672858043E-06;0,0142351024232473;1
;2;2;56,92999201;-0,000156999987666495;-0,000156653215526603;0,41896390914917;8,15771778030062E-10;2,2344759458469E-06;-0,997791181698109;5,19599858617874E-06;0,0142323308652669;1
;3;3;56,93999201;-0,000156999987666495;-0,000156663474626839;0,397690296173096;1,25094806612146E-09;2,23404081124398E-06;-0,9978565262856;7,96782207720675E-06;0,0142295593072865;1
;4;4;56,94999201;-0,000156999987666495;-0,000156678419443779;0,380617141723633;1,68616578674927E-09;2,23360567664107E-06;-0,997951716202412;1,07399094697406E-05;0,0142267877493062;1
;5;5;56,95999201;-0,000156999987666495;-0,000156704467372037;0,365857601165771;2,12145576167839E-09;2,23317054203815E-06;-0,998117626573487;1,35124570807541E-05;0,0142240161913258;1
;6;6;56,96999201;-0,000156999987666495;-0,000156720008817501;0,352316856384277;2,55678893760584E-09;2,23273540743523E-06;-0,998216616671983;1,6285279857362E-05;0,0142212446333454;1
;7;7;56,97999201;-0,000156999987666495;-0,000156731315655634;0,339917659759521;2,99215369321044E-09;2,23230027283231E-06;-0,99828863474926;1,90583037784104E-05;0,0142184730753651;1
;8;8;56,98999201;-0,000156999987666495;-0,000156738693476655;0,327680110931396;3,42753891244582E-09;2,2318651382294E-06;-0,998335627239838;2,18314580410562E-05;0,0142157015173847;1
;9;9;56,99999201;-0,000156999987666495;-0,000156742695253342;0,315858840942383;3,86293524772757E-09;2,23142974492576E-06;-0,998361116263327;2,4604683106545E-05;0,0142129283116291;1
;10;10;57,00999201;-0,000156999987666495;-0,000156770562171005;0,304033279418945;4,29840889005896E-09;2,23099435162213E-06;-0,99853861255417;2,73784005736239E-05;0,0142101551058734;1
;11;11;57,01999201;-0,000156999987666495;-0,000156769048771821;0,291858196258545;4,73387798491684E-09;2,2305589583185E-06;-0,998528973068923;3,01520890759035E-05;0,0142073819001178;1
;12;12;57,02999201;-0,000156999987666495;-0,000156799505930394;0,279736518859863;5,16943196594689E-09;2,23012356501487E-06;-0,998722967709516;3,29263182544388E-05;0,0142046086943622;1
;13;13;57,03999201;-0,000156999987666495;-0,000156789799802937;0,267030239105225;5,60495916741072E-09;2,22968817171123E-06;-0,998661145241635;3,57003768624887E-05;0,0142018354886066;1
;14;14;57,04999201;-0,000156999987666495;-0,000156798443640582;0,25421142578125;6,04051011679177E-09;2,2292527784076E-06;-0,998716201532371;3,84745867311578E-05;0,014199062282851;1
;15;15;57,05999201;-0,000156999987666495;-0,000156824869918637;0,24104118347168;6,47613433102379E-09;2,22881738510397E-06;-0,998884521774758;4,12492632549286E-05;0,0141962890770953;1
;16;16;57,06999201;-0,000156999987666495;-0,000156816255184822;0,227437496185303;6,91173479733859E-09;2,22838199180033E-06;-0,998829650858738;4,40237885180802E-05;0,0141935158713397;1
;17;17;57,07999201;-0,000156999987666495;-0,000156832582433708;0,213864326477051;7,34738073838849E-09;2,2279465984967E-06;-0,998933646074573;4,6798603429226E-05;0,0141907426655841;1
;18;18;57,08999201;-0,000156999987666495;-0,000156830123160034;0,199878215789795;7,7830196055907E-09;2,22751120519307E-06;-0,998917981911047;4,95733732840172E-05;0,0141879694598285;1
;19;19;57,09999201;-0,000156999987666495;-0,000156827474711463;0,186000347137451;8,21865139894524E-09;2,22707581188944E-06;-0,998901112811865;5,23480980824537E-05;0,0141851962540728;1
;20;20;57,10999201;-0,000156999987666495;-0,000156851965584792;0,172069549560547;8,65435039385274E-09;2,22664015988509E-06;-0,999057105635619;5,51232509162595E-05;0,014182421400542;1
;21;21;57,11999201;-0,000156999987666495;-0,000156845286255702;0,158061504364014;9,09003170414103E-09;2,22620450788074E-06;-0,999014562138232;5,78982911091786E-05;0,0141796465470111;1
;22;22;57,12999201;-0,000156999987666495;-0,000156848996994086;0,14441442489624;9,52572311992602E-09;2,22576885587639E-06;-0,999038197414558;6,06733956683186E-05;0,0141768716934802;1
;23;23;57,13999201;-0,000156999987666495;-0,000156857044203207;0,130677223205566;9,96143676780371E-09;2,22533320387204E-06;-0,999089453523611;6,34486418331447E-05;0,0141740968399493;1
;24;24;57,14999201;-0,000156999987666495;-0,000156856869580224;0,117315769195557;1,03971494051317E-08;2,2248975518677E-06;-0,999088341275313;6,62238815613487E-05;0,0141713219864185;1
;25;25;57,15999201;-0,000156999987666495;-0,000156879672431387;0,104174613952637;1,08329257070889E-08;2,22446189986335E-06;-0,999233582365522;6,89995267967445E-05;0,0141685471328876;1
;26;26;57,16999201;-0,000156999987666495;-0,000156867186888121;0,0911121368408203;1,12686676503573E-08;2,224026247859E-06;-0,999154056612236;7,17749531869892E-05;0,0141657722793567;1
;27;27;57,17999201;-0,000156999987666495;-0,0001568884763401;0,078582763671875;1,17044682055065E-08;2,22359059585465E-06;-0,999289658217199;7,45507529013153E-05;0,0141629974258258;1
;28;28;57,18999201;-0,000156999987666495;-0,00015686459664721;0,0660638809204102;1,21402030749272E-08;2,22315494385031E-06;-0,999137558262487;7,73261342352053E-05;0,0141602225722949;1
;29;29;57,19999201;-0,000156999987666495;-0,000156882844748907;0,0539212226867676;1,25759884718314E-08;2,22271929184596E-06;-0,999253788209597;8,01018374002E-05;0,0141574477187641;1
;30;30;57,20999201;-0,000156999987666495;-0,000156865062308498;0,0420823097229004;1,30117243518018E-08;2,22228363984161E-06;-0,999140524257947;8,28772251707121E-05;0,0141546728652332;1
;31;31;57,21999201;-0,000156999987666495;-0,00015687859558966;0,0302648544311523;1,34474976221099E-08;2,22184798783726E-06;-0,99922672350102;8,56528510962417E-05;0,0141518980117023;1
;32;32;57,22999201;-0,000156999987666495;-0,000156879381393082;0,0189704895019531;1,38832729135174E-08;2,22141233583291E-06;-0,99923172861836;8,84284898950155E-05;0,0141491231581714;1
;33;33;57,23999201;-0,000156999987666495;-0,000156884139869362;0,00763893127441406;1,43190613420706E-08;2,22097668382857E-06;-0,999262037384472;9,12042123698765E-05;0,0141463483046405;1
;34;34;57,24999201;-0,000156999987666495;-0,000156883848831058;-0,00330305099487305;1,47548497706238E-08;2,22054103182422E-06;-0,999260183637309;9,39799348447374E-05;0,0141435734511097;1
;35;35;57,25999201;-0,000156999987666495;-0,000156894282554276;-0,014042854309082;1,51906664945677E-08;2,22010537981987E-06;-0,999326640473097;9,6755837545017E-05;0,0141407985975788;1
;36;36;57,26999201;-0,000156999987666495;-0,000156889305799268;-0,0247430801391602;1,56264700813659E-08;2,21966972781552E-06;-0,999294941396613;9,95316565692094E-05;0,0141380237440479;1
;37;37;57,27999201;-0,000156999987666495;-0,000156907000928186;-0,034947395324707;1,60623221745482E-08;2,21923407581117E-06;-0,999407649224114;0,000102307784551262;0,014135248890517;1
;38;38;57,28999201;-0,000156999987666495;-0,000156888825586066;-0,0451946258544922;1,6498123740247E-08;2,21879842380683E-06;-0,999291882713794;0,00010508359070221;0,0141324740369862;1
;39;39;57,29999201;-0,000156999987666495;-0,000156898342538625;-0,0550780296325684;1,69339515802373E-08;2,21836277180248E-06;-0,999352500246019;0,000107859564205333;0,0141296991834553;1
;40;40;57,30999201;-0,000156999987666495;-0,000156909358338453;-0,0647702217102051;1,73698107472673E-08;2,21792711979813E-06;-0,999422664576133;0,000110635737243741;0,0141269243299244;1
;41;41;57,31999201;-0,000156999987666495;-0,000156895694090053;-0,0744447708129883;1,78056305028602E-08;2,21749146779378E-06;-0,999335631146837;0,000113411659253886;0,0141241494763935;1
;42;42;57,32999201;-0,000156999987666495;-0,000156904628966004;-0,0836963653564453;1,82414765327444E-08;2,21705581578943E-06;-0,999392541184737;0,000116187748616207;0,0141213746228626;1
;43;43;57,33999201;-0,000156999987666495;-0,000156900045112707;-0,092991828918457;1,86773084149334E-08;2,21662016378509E-06;-0,999363344666922;0,000118963747865818;0,0141185997693318;1
;44;44;57,34999201;-0,000156999987666495;-0,000156899332068861;-0,101924896240234;1,9113138276023E-08;2,21618451178074E-06;-0,999358802986373;0,000121739734242184;0,0141158249158009;1
;45;45;57,35999201;-0,000156999987666495;-0,000156893089297228;-0,110697746276855;1,95489519683179E-08;2,21574885977639E-06;-0,99931904010973;0,000124515617632598;0,01411305006227;1
;46;46;57,36999201;-0,000156999987666495;-0,000156915411935188;-0,119504451751709;1,99848262935929E-08;2,21531320777204E-06;-0,99946122251712;0,000127291887220337;0,0141102752087391;1
