Filename;Index;DataIndex;Time (s);Current applied (A);WE(1).Current (A);WE(1).Potential (V);Discharge capacity (Ah);Σ Capacity (Ah);Normalized WE.Current;Normalized Discharge capacity;Normalized Σ Capacity;Cycle
C:\Users\labor\AppData\Local\Temp\GCD corrigida USAR ESSE!\2-CC discharge-ConstantCurrentDischarge.txt;1;3;1,22771262;-6,19999918853864E-05;-6,13170705037192E-05;0,547095775604248;8,31709693708641E-11;-1,89255445882787E-11;-0,494492504062251;6,70733623958582E-07;-1,52625359582893E-07;0
;2;4;1,22871262;-6,19999918853864E-05;-6,13132142461836E-05;0,523558616638184;1,00202410319778E-10;-3,5956991458382E-11;-0,494461405211158;8,08083954191758E-07;-2,89975737567597E-07;0
;3;5;1,22971262;-6,19999918853864E-05;-6,13159354543313E-05;0,499625205993652;1,17234609180943E-10;-5,2989194267007E-11;-0,494483350438156;9,45440396620511E-07;-4,27332211830702E-07;0
;4;6;1,23071262;-6,19999918853864E-05;-6,13153679296374E-05;0,476784706115723;1,34266650143723E-10;-7,00212391772463E-11;-0,494478773626108;1,08279556567519E-06;-5,64687412719728E-07;0
;5;7;1,23171262;-6,19999918853864E-05;-6,13148440606892E-05;0,454798698425293;1,51298548997955E-10;-8,70531380314787E-11;-0,494474548876526;1,22014958869319E-06;-7,02041435737732E-07;0
;6;8;1,23271262;-6,19999918853864E-05;-6,13141746725887E-05;0,43419361114502;1,68330258374125E-10;-1,04084847407648E-10;-0,494469150585393;1,3575020836623E-06;-8,39393930706841E-07;0
;7;9;1,23371262;-6,19999918853864E-05;-6,13128795521334E-05;0,414423942565918;1,85361604584007E-10;-1,2111620151245E-10;-0,494458706065592;1,49485164987103E-06;-9,76743560584275E-07;0
;8;10;1,23471262;-6,19999918853864E-05;-6,13139709457755E-05;0,395637512207031;2,02393250800823E-10;-1,38147855624185E-10;-0,494467507627222;1,63220363549051E-06;-1,11409560987246E-06;0
;9;11;1,23571262;-6,19999918853864E-05;-6,13124284427613E-05;0,377677917480469;2,19424470691997E-10;-1,55179075515359E-10;-0,494455068086785;1,76955218299997E-06;-1,25144415738192E-06;0
;10;12;1,23671262;-6,19999918853864E-05;-6,13144802628085E-05;0,36046028137207;2,36456259017359E-10;-1,72210863840721E-10;-0,494471615022649;1,90690531465612E-06;-1,38879728903807E-06;0
;11;13;1,23771262;-6,19999918853864E-05;-6,13109586993232E-05;0,343981266021729;2,5348706837273E-10;-1,89241673196092E-10;-0,494443215317123;2,04425055139298E-06;-1,52614252577493E-06;0
;12;14;1,23871262;-6,19999918853864E-05;-6,13122683716938E-05;0,328177928924561;2,70518240894388E-10;-2,0627284571775E-10;-0,494453777191079;2,18159871689023E-06;-1,66349069127218E-06;0
;13;15;1,23971262;-6,19999918853864E-05;-6,13110605627298E-05;0,31295108795166;2,87549066039598E-10;-2,23303686652798E-10;-0,494444036796208;2,3189440809645E-06;-1,80083618268386E-06;0
;14;16;1,24071262;-6,19999918853864E-05;-6,13145966781303E-05;0,298270225524902;3,04580870154799E-10;-2,40335506557838E-10;-0,49447255385589;2,45629733995805E-06;-1,93818956901482E-06;0
;15;17;1,24171262;-6,19999918853864E-05;-6,13132579019293E-05;0,284073352813721;3,21612326893551E-10;-2,5736696329659E-10;-0,494461757273624;2,59364779752864E-06;-2,07554002658541E-06;0
;16;18;1,24271262;-6,19999918853864E-05;-6,13128358963877E-05;0,270364761352539;3,38643657313595E-10;-2,74398277926796E-10;-0,494458354003127;2,73099723639996E-06;-2,21288933811932E-06;0
;17;19;1,24371262;-6,19999918853864E-05;-5,87529793847352E-05;0,279818058013916;3,54963908143367E-10;-2,90718528756568E-10;-0,473814349876897;2,86261216244651E-06;-2,34450426416587E-06;0
;18;20;1,24471262;-6,19999918853864E-05;-6,18619815213606E-05;0,297485828399658;3,72147768404021E-10;-3,07902389017222E-10;-0,498886947752908;3,00119168067759E-06;-2,48308378239695E-06;0
;19;21;1,24571262;-6,19999918853864E-05;-6,19145284872502E-05;0,303106307983398;3,89346218475516E-10;-3,25100839088716E-10;-0,499310713606857;3,13988885867351E-06;-2,62178096039287E-06;0
;20;22;1,25171262;-6,19999918853864E-05;-6,18643534835428E-05;0,297038555145264;4,92462422446099E-10;-4,28217043059299E-10;-0,498906076480184;3,97147114875886E-06;-3,45336325047822E-06;0
;21;23;1,25371262;-6,19999918853864E-05;-6,18130579823628E-05;0,29154109954834;5,26809331960168E-10;-4,62563952573368E-10;-0,498492403083571;4,24846235451748E-06;-3,73035445623684E-06;0
;22;24;1,25571262;-6,19999918853864E-05;-6,18951598880813E-05;0,285380840301514;5,61184757922698E-10;-4,96939410115576E-10;-0,499154515226462;4,52568353163467E-06;-4,00757588802884E-06;0
;23;25;1,25771262;-6,19999918853864E-05;-6,18482590653002E-05;0,279377937316895;5,95542309787965E-10;-5,3129699356052E-10;-0,498776282784679;4,80276056280617E-06;-4,28465317387516E-06;0
;24;26;1,25971262;-6,19999918853864E-05;-6,18679478066042E-05;0,273242950439453;6,29909777671855E-10;-5,6566446144441E-10;-0,498935062956486;5,0799175618698E-06;-4,56181017293879E-06;0
;25;27;1,26171262;-6,19999918853864E-05;-6,18784833932295E-05;0,267152309417725;6,64290256382729E-10;-6,00044940155284E-10;-0,499020027364754;5,35717948695749E-06;-4,83907209802648E-06;0
;26;28;1,26371262;-6,19999918853864E-05;-6,18470803601667E-05;0,261147022247314;6,98667261329117E-10;-6,34421945101672E-10;-0,498766777098119;5,63441339781546E-06;-5,11630600888445E-06;0
;27;29;1,26571262;-6,19999918853864E-05;-6,18462654529139E-05;0,255183696746826;7,33045024187757E-10;-6,68799707960312E-10;-0,498760205265435;5,91165342086901E-06;-5,393546031938E-06;0
;28;30;1,26771262;-6,19999918853864E-05;-6,18740014033392E-05;0,249212741851807;7,67415207923881E-10;-7,03169891696436E-10;-0,498983882284994;6,18883232196679E-06;-5,67072493303578E-06;0
;29;31;1,26971262;-6,19999918853864E-05;-6,18879857938737E-05;0,243310928344727;8,01797455096676E-10;-7,3755213886923E-10;-0,499096659628013;6,46610850884416E-06;-5,94800111991315E-06;0
;30;32;1,27171262;-6,19999918853864E-05;-6,18979975115508E-05;0,237388610839844;8,36193218371288E-10;-7,71947902143842E-10;-0,4991773992867;6,74349369654264E-06;-6,22538630761163E-06;0
;31;33;1,27371262;-6,19999918853864E-05;-6,1880171415396E-05;0,231598854064941;8,70570412795738E-10;-8,06325096568293E-10;-0,499033640446742;7,0207291354495E-06;-6,50262174651849E-06;0
;32;34;1,27571262;-6,19999918853864E-05;-6,18622434558347E-05;0,225825309753418;9,04946786148584E-10;-8,40701469921138E-10;-0,498889060127699;7,29795795281116E-06;-6,77985056388015E-06;0
;33;35;1,27771262;-6,19999918853864E-05;-6,18709600530565E-05;0,220057010650635;9,39327833293646E-10;-8,75082517066201E-10;-0,498959355266584;7,57522446204553E-06;-7,05711707311452E-06;0
;34;36;1,27971262;-6,19999918853864E-05;-6,18710619164631E-05;0,214365005493164;9,7370344873424E-10;-9,09458132506794E-10;-0,49896017674567;7,85244716721161E-06;-7,3343397782806E-06;0
;35;37;1,28171262;-6,19999918853864E-05;-6,18264602962881E-05;0,208825588226318;1,00808013788386E-09;-9,43834821656411E-10;-0,498600486260388;8,12967853132142E-06;-7,61157114239041E-06;0
;36;38;1,28371262;-6,19999918853864E-05;-6,18728809058666E-05;0,203131675720215;1,04244880579548E-09;-9,78203489568033E-10;-0,498974846015053;8,40684520802805E-06;-7,88873781909704E-06;0
;37;39;1,28571262;-6,19999918853864E-05;-6,18680787738413E-05;0,197539806365967;1,07682265277415E-09;-1,01257739970606E-09;-0,498936119143881;8,68405365140445E-06;-8,16594677182307E-06;0
;38;40;1,28771262;-6,19999918853864E-05;-6,1828235629946E-05;0,192014694213867;1,1111887943116E-09;-1,04694366756222E-09;-0,498614803467306;8,96119995412582E-06;-8,4430940932437E-06;0
;39;41;1,28971262;-6,19999918853864E-05;-6,1877493862994E-05;0,186336517333984;1,14555784117935E-09;-1,08131277758932E-09;-0,49901204728221;9,23836968693023E-06;-8,72026433539775E-06;0
;40;42;1,29171262;-6,19999918853864E-05;-6,18889462202787E-05;0,180787563323975;1,17994368843534E-09;-1,11569862484531E-09;-0,499104405002248;9,51567490673659E-06;-8,99756955520411E-06;0
;41;43;1,29371262;-6,19999918853864E-05;-6,18949270574376E-05;0,17521858215332;1,21432410398686E-09;-1,15007904039683E-09;-0,499152637559981;9,79293632247466E-06;-9,27483097094217E-06;0
;42;44;1,29571262;-6,19999918853864E-05;-6,19280763203278E-05;0,169651508331299;1,24871083547381E-09;-1,18446577188378E-09;-0,499419970325224;1,00702486731759E-05;-9,55214332164337E-06;0
;43;45;1,29771262;-6,19999918853864E-05;-6,18712801951915E-05;0,164268016815186;1,28309074575049E-09;-1,21884568216046E-09;-0,498961937057996;1,03475060141169E-05;-9,82940066258438E-06;0
;44;46;1,29971262;-6,19999918853864E-05;-6,18975900579244E-05;0,158703804016113;1,31747078234589E-09;-1,25322571875586E-09;-0,499174113370358;1,06247643737571E-05;-1,01066590222247E-05;0
;45;47;1,30171262;-6,19999918853864E-05;-6,1897881096229E-05;0,153263568878174;1,35185359795287E-09;-1,28760853436284E-09;-0,499176460453459;1,09020451447812E-05;-1,03839397932487E-05;0
;46;48;1,30371262;-6,19999918853864E-05;-6,18542690062895E-05;0,147916793823242;1,38621708679744E-09;-1,32197202320741E-09;-0,498824750050722;1,1179170054818E-05;-1,06610647032856E-05;0
;47;49;1,30571262;-6,19999918853864E-05;-6,1845377786085E-05;0,142404079437256;1,42058524943423E-09;-1,3563401858442E-09;-0,498753046661976;1,14563326567276E-05;-1,09382273051951E-05;0
;48;50;1,30771262;-6,19999918853864E-05;-6,18598714936525E-05;0,136906623840332;1,45496768608508E-09;-1,39072262249505E-09;-0,498869931400423;1,17336103716539E-05;-1,12155050201214E-05;0
;49;51;1,30971262;-6,19999918853864E-05;-6,18902122369036E-05;0,131370067596436;1,4893496174611E-09;-1,42510455387108E-09;-0,499114614813739;1,20108840117831E-05;-1,14927786602506E-05;0
;50;52;1,31171262;-6,19999918853864E-05;-6,19221536908299E-05;0,125847339630127;1,52374279120219E-09;-1,45949772761216E-09;-0,499372207184112;1,22882483161467E-05;-1,17701429646142E-05;0
;51;53;1,31371262;-6,19999918853864E-05;-6,18544727331027E-05;0,120525360107422;1,55810943801448E-09;-1,49386437442445E-09;-0,498826393008893;1,25653986936651E-05;-1,20472933421326E-05;0
;52;54;1,31571262;-6,19999918853864E-05;-6,19206111878157E-05;0,114977836608887;1,59249149570921E-09;-1,52824643211918E-09;-0,499359767643675;1,28426733524936E-05;-1,23245680009611E-05;0
;53;55;1,31771262;-6,19999918853864E-05;-6,18979684077203E-05;0,109601020812988;1,62687911142712E-09;-1,56263404783709E-09;-0,49917716457839;1,31199928340896E-05;-1,26018874825572E-05;0
;54;56;1,31971262;-6,19999918853864E-05;-6,19243364781141E-05;0,104077816009521;1,6612648323644E-09;-1,59701976877437E-09;-0,499389810307372;1,33972970351967E-05;-1,28791916836642E-05;0
;55;57;1,32171262;-6,19999918853864E-05;-6,18905469309539E-05;0,0986504554748535;1,69564385841012E-09;-1,63139879482009E-09;-0,499117313959305;1,36745472452429E-05;-1,31564418937104E-05;0
;56;58;1,32371262;-6,19999918853864E-05;-6,18518388364464E-05;0,0932760238647461;1,73002768456677E-09;-1,66578262097674E-09;-0,498805151906826;1,39518361658611E-05;-1,34337308143286E-05;0
;57;59;1,32571262;-6,19999918853864E-05;-6,18903432041407E-05;0,0877118110656738;1,76440317368866E-09;-1,70015811009863E-09;-0,499115671001134;1,42290578523279E-05;-1,37109525007954E-05;0
;58;60;1,32771262;-6,19999918853864E-05;-6,18559861322865E-05;0,082301139831543;1,79878131550342E-09;-1,73453625191339E-09;-0,49883859784102;1,45063009314792E-05;-1,39881955799467E-05;0
;59;61;1,32971262;-6,19999918853864E-05;-6,18733465671539E-05;0,0767951011657715;1,83314695176604E-09;-1,76890188817601E-09;-0,498978601348016;1,47834431594035E-05;-1,4265337807871E-05;0
;60;62;1,33171262;-6,19999918853864E-05;-6,19270140305161E-05;0,071256160736084;1,86753519907749E-09;-1,80329013548746E-09;-0,499411403471904;1,50607677344959E-05;-1,45426623829634E-05;0
;61;63;1,33371262;-6,19999918853864E-05;-6,18992489762604E-05;0,0658578872680664;1,90191561462901E-09;-1,83767055103898E-09;-0,499187491744036;1,53380291502339E-05;-1,48199237987015E-05;0
;62;64;1,33571262;-6,19999918853864E-05;-6,18719786871225E-05;0,0604710578918457;1,93629438803732E-09;-1,87204932444729E-09;-0,498967570057439;1,56152773228816E-05;-1,50971719713491E-05;0
;63;65;1,33771262;-6,19999918853864E-05;-6,18481863057241E-05;0,0550713539123535;1,97066444545473E-09;-1,90641938186471E-09;-0,498775696013904;1,58924552052801E-05;-1,53743498537476E-05;0
;64;66;1,33971262;-6,19999918853864E-05;-6,18388730799779E-05;0,0495848655700684;2,00504220831337E-09;-1,94079714472334E-09;-0,498700589354661;1,61696952283337E-05;-1,56515898768012E-05;0
;65;67;1,34171262;-6,19999918853864E-05;-6,19041093159467E-05;0,0439882278442383;2,03944094007764E-09;-1,97519587648761E-09;-0,499226688031828;1,64471043554648E-05;-1,59289990039323E-05;0
;66;68;1,34371262;-6,19999918853864E-05;-6,19031488895416E-05;0,038536548614502;2,07383045057617E-09;-2,00958538698615E-09;-0,499218942657594;1,67244391175498E-05;-1,62063337660173E-05;0
;67;69;1,34571262;-6,19999918853864E-05;-6,18244084762409E-05;0,0332436561584473;2,10818636029823E-09;-2,0439412967082E-09;-0,498583939324524;1,70015029056309E-05;-1,64833975540984E-05;0
;68;70;1,34771262;-6,19999918853864E-05;-6,18974881945178E-05;0,0276846885681152;2,14256614425621E-09;-2,07832108066618E-09;-0,499173291891272;1,72787592278726E-05;-1,67606538763401E-05;0
;69;71;1,34971262;-6,19999918853864E-05;-6,18690537521616E-05;0,0223836898803711;2,17693898068521E-09;-2,1126941697326E-09;-0,498943981872271;1,75559595216549E-05;-1,7037856207521E-05;0
;70;72;1,35171262;-6,19999918853864E-05;-6,19088532403111E-05;0,0169582366943359;2,21133202810759E-09;-2,14708734347369E-09;-0,49926494548638;1,78333228073193E-05;-1,73152205118846E-05;0
;71;73;1,35371262;-6,19999918853864E-05;-6,18480698904023E-05;0,0117321014404297;2,24569602222699E-09;-2,18145133759309E-09;-0,498774757180663;1,81104517921532E-05;-1,75923494967185E-05;0
;72;74;1,35571262;-6,19999918853864E-05;-6,18712656432763E-05;0,00634336471557617;2,28007138503017E-09;-2,21582670039627E-09;-0,498961819703841;1,83876724599207E-05;-1,7869570164486E-05;0
;73;75;1,35771262;-6,19999918853864E-05;-6,18716876488179E-05;0,00106430053710938;2,3144563480552E-09;-2,2502116634213E-09;-0,498965222974338;1,86649705488322E-05;-1,81468682533975E-05;0
;74;76;1,35871262;-6,19999918853864E-05;-6,18826888967305E-05;-0,00160932540893555;2,33164579791871E-09;-2,2674011132848E-09;-0,499053942715569;1,88035951445057E-05;-1,8285492849071E-05;0
