Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;788,97190045;300249,999999822;0,419288634589728;3,39182414611233;7,10092198050899;3,3658086812911
;2;2;789,74310063;237977,30970684;0,40336974599373;3,26598473949041;7,09450564014526;3,24097966155316
;3;3;790,59197337;188380,912601555;0,417553814419747;3,20557272703382;7,48454326059897;3,17826136753518
;4;4;791,66981637;149277,625176448;0,466625136376377;3,19633945822441;8,39445878134192;3,16209533605552
;5;5;792,84050163;118291,227442155;0,528376322371993;3,17645636069228;9,57517026049422;3,13220265521551
;6;6;794,49036639;93736,8508724443;0,636912756440021;3,21131355610825;11,439554475594;3,14751916536319
;7;7;795,17255767;74279,3645943125;0,752380382278531;3,23495326846088;13,4489229243971;3,14624322160384
;8;8;796,26343479;58860,7783725711;0,927765339829814;3,29529804545379;16,3522674016007;3,16199947542407
;9;9;797,57067271;46642,714965691;1,11700394589018;3,37785841586041;19,3103005927147;3,18782522457941
;10;10;798,30436583;36960,8238206611;1,37080718432481;3,49700544999796;23,0786650822854;3,21713145219758
;11;11;799,58356407;29288,6573714058;1,68722886145857;3,67074697952056;27,3639979039756;3,26000646574827
;12;12;800,72982259;23209,0457395014;2,08339439178731;3,91324527946975;32,167456161095;3,31254530920884
;13;13;801,58248123;18391,4133482026;2,57124705568015;4,24388366827826;37,2915616577224;3,37627563574645
;14;14;802,79220911;14573,8040566484;3,17924432151467;4,69447770413607;42,6276156951088;3,45405941737362
;15;15;803,94941795;11548,6374353528;3,93321243803256;5,29972956313487;47,9151787106182;3,55203791641808
;16;16;804,75840417;9151,42169423765;4,86850264185288;6,09692498696655;52,9887872934433;3,67017388184382
;17;17;805,49230249;7256,24999984457;6,02459134444621;7,13328329781252;57,6264082456044;3,8194279335098
;18;18;806,24739705;5743,74999980016;7,47030202998167;8,47622144920342;61,8025578368506;4,00511143874772
;19;19;806,99990009;4553,99999982236;9,25848367207505;10,1805738552283;65,4262183167892;4,23374114887514
;20;20;807,54846969;3608,57142841917;11,4661822315991;12,3282952021114;68,4457889503156;4,52918619866354
;21;21;808,18320757;2860;14,2047661129401;15,0146265891998;71,0958504098411;4,8645278588753
;22;22;808,59741257;2266,66666654824;17,5898878554235;18,3774055564561;73,1659386234222;5,32211238326378
;23;23;808,95425081;1793,99999982236;21,8192245676403;22,6027945657646;74,8693303009706;5,89981028924119
;24;24;809,31262669;1421,99999982236;27,0440629506191;27,8454340775148;76,2207818683792;6,63225889785482
;25;25;809,62173397;1128;33,4122080782101;34,2602870072683;77,2250197047834;7,5757255202911
;26;26;809,91584685;893,999999822364;41,3896470256308;42,2953099220216;78,1217399426225;8,70576593376784
;27;27;810,21356421;708;51,4313445034543;52,4300158424682;78,7991570422953;10,1844667905818
;28;28;810,70404961;560;63,5462897647375;64,7252883083769;79,0473623860835;12,2976422024115
;29;29;810,95424337;444;78,3170018984843;79,703467821912;79,2975010017765;14,8016889736061
;30;30;811,23477085;353,999999822364;96,3685036242517;98,0011631127207;79,5269155787053;17,8140248306968
;31;31;811,54511597;277,499999777955;120,710302894744;122,742258108436;79,5600456162601;22,2415085058832
;32;32;811,85665517;221,999999822364;146,608920935609;149,12467139191;79,4607645358455;27,2762152770772
;33;33;812,18079729;173,999999822364;183,004894215975;186,466953055118;78,9419598530316;35,7649727339349
;34;34;812,47069681;140;220,548119659292;224,989240454568;78,596976078606;44,4824148970605
;35;35;812,81668293;109,999999822364;272,658181136146;278,286427728023;78,4571551133631;55,685295340444
;36;36;813,09350437;86,6666665482429;342,191844127508;348,770122537622;78,8542549062975;67,4191381398738
;37;37;813,38021057;68,5714284191694;416,151084895926;426,976819105574;77,070371023381;95,5378385429466
;38;38;813,67466445;53,9999998223643;508,09382828257;524,019696010099;75,8381017115875;128,208047593269
;39;39;813,96850265;42,8571428063898;623,941176059578;648,308050481992;74,2414386990346;176,070261932992
;40;40;814,25226045;33,3333330964858;778,656276343441;801,316550257404;76,3416907006509;189,215794867641
;41;41;814,52883961;29,9999998223643;807,278503389766;842,788559537702;73,3086758205123;242,061921938199
;42;42;814,79828261;22,4999998667732;1117,94290674286;1155,05533515469;75,4365029654053;290,441878062771
;43;43;815,07471501;17,1428568383388;1403,68626060285;1436,49643347134;77,7307018828965;305,265270167856
;44;44;815,35136061;14,9999999111822;1624,45149748612;1652,5187147888;79,4249914209349;303,274520925084
;45;45;815,62077253;9,99999982236431;1778,00681342967;1790,91904321637;83,1156719929636;214,669026067377
;46;46;815,88710737;8,57142841916941;2372,04996157896;2441,99346751695;76,2538476109296;580,268106282541
;47;47;816,16410421;7,49999995559108;2648,98665601677;2852,6868743323;68,2166272050269;1058,6274600788
;48;48;816,47559161;5,45454529305847;3067,72357406728;3464,1453006128;62,3210503348464;1609,1534224149
;49;49;816,83716237;4,28571420958471;4628,33627342613;5509,07935405096;57,153723975851;2988,05265504449
;50;50;817,25708461;3,33333327412144;3900,42730245788;3904,5104407472;92,6205305961362;-178,517898668607
;51;51;817,75431781;2,6086954977081;3136,38867651321;4639,94250702547;137,471705926161;-3419,37604517864
;52;52;818,34442653;2,06896545598769;3008,63818771221;6141,6559024745;29,3323071909227;5354,25377432184
;53;53;819,05306753;1,66666645942503;6532,89584764452;6534,47389530451;91,2592185556946;-143,599903360436
;54;54;819,89693401;1,30434757121836;10620,9430674719;13046,3410859583;54,4978396179747;7576,44930615155
;55;55;820,92464897;1,03448272799385;9201,01569250543;9201,07149979211;89,8004443166883;32,0463813167851
;56;56;825,54440553;0,831383322798057;20439,478429647;20441,9985760655;89,1003091532585;320,978671969324
;57;57;828,07565321;0,658808478444665;17726,9578250703;17847,2646487384;96,6564272915609;-2068,77299631589
;58;58;830,95684469;0,522055646332325;39773,0141336018;40266,8566162829;98,9826163007025;-6287,05721976522
;59;59;834,29418221;0,413689707228858;34873,163106017;35213,6946903754;97,9746409625586;-4885,3647487274
;60;60;838,20451901;0,327817774919422;45325,4347679311;45325,4356249798;89,9888578404607;8,81431819294379
;61;61;842,83119353;0,259770873058964;38600,2256016419;40226,4763086868;106,347429217098;-11322,1897049858
;62;62;848,38374189;0,205848495057154;101052,874243513;104361,895210453;75,5332604930793;26071,4744316893
;63;63;855,08471673;0,163119296839799;130198,55093169;144654,640707041;115,833413171736;-63034,1368892398
;64;64;863,24080049;0,129259803646843;73640,6088559283;73792,2514643621;86,3261850809355;4728,32988568162
;65;65;873,21938893;0,102428643967372;85279,8027290099;88031,9046726366;104,364410582757;-21839,6768930616
;66;66;885,54995061;0,0811667182846361;14354,961193157;65616,9156199948;12,6367534240624;64027,4527419643
;67;67;900,77187049;0,0643186841032671;32522,4000483538;120415,037474334;15,6693766249751;115939,961812311
;68;68;919,74375401;0,0509675860171939;-673374,919168049;696017,46730307;-104,65462309949;-176086,720187537
;69;69;943,32449963;0,0403879598887965;-5393,55603447488;125132,791577759;-177,52963423161;-125016,499236484
;70;70;972,83098717;0,0320042660986114;-11063,648058087;61217,8984783953;-169,587966899468;-60209,8562177149
;71;71;1009,66145585;0,0253610467502484;50187,8384039296;50401,9471509374;95,2830538678999;-4640,81382377504
;72;72;1056,05400409;0,0200966355890075;50759,3007954896;52544,7310347462;75,0210293523191;13580,9477676199
;73;73;1114,14607677;0,0159250391620072;42451,7597600111;119783,468559798;20,7569312533381;112008,604283307
;74;74;1187,30843665;0,0126192390637924;-1173,41584201882;40111,5433516293;-178,323640459268;-40094,3762304807
;75;75;1278,84555073;0,00999982325249341;4580,30710792637;174350,738946361;178,494629485006;-174290,564741581
