Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;313,24588474;300249,999999822;3,11247214255749;11,336589911065;15,9352587303339;10,9009535350566
;2;2;314,97968568;237888,189591632;2,87357826219321;11,3278685991544;14,6949885311324;10,9573333877709
;3;3;315,91435922;188239,6971745;2,63290880107959;11,1509457267147;13,6573745043706;10,8356532726613
;4;4;316,69180362;149109,802819593;2,44008720429652;11,0474236988289;12,7603646426224;10,7745786375559
;5;5;317,97219088;118113,945307927;2,50611821563614;11,1300221541641;13,0127224215461;10,8442041958569
;6;6;319,0275585;93561,2804282157;2,64192980309578;11,2105180409521;13,6308416190539;10,8947657919768
;7;7;319,69095382;74112,4443229811;2,86673169881859;11,3714462615734;14,601762667616;11,0041646410275
;8;8;320,7347365;58706,4903169456;3,21959845156166;11,60893052588;16,1013967853412;11,1535399656526
;9;9;321,93408214;46503,0135872647;3,70406211279874;11,8635078867156;18,1932606003104;11,270436692635
;10;10;322,86538582;36836,3065313355;4,32803815249818;12,2434905137002;20,7013620051646;11,4529972369501
;11;11;323,83786986;29179,0439846384;5,11227692295524;12,7291492796908;23,6794719207584;11,6574382283447
;12;12;325,10044806;23113,5172883486;6,12102447715923;13,3875382070922;27,2077402820648;11,9062688780479
;13;13;325,8297719;18308,8480117993;7,36341609163471;14,2500305252659;31,1131506088745;12,200142352959
;14;14;326,69392646;14502,9383166301;8,91948106579109;15,4057668685245;35,3781497488515;12,561071225191
;15;15;328,06414418;11488,1733511123;10,833265518986;16,9173677118539;39,8189332972555;12,9937557500988
;16;16;329,2423491;9100,09572289686;13,1850587749909;18,8847927493475;44,2814812521721;13,5199712383512
;17;17;330,2450736;7208,33333300767;16,0697231430042;21,4213050881484;48,6055213997869;14,1646147066106
;18;18;331,3180868;5709,99999982236;19,606015777064;24,6528809417749;52,6819887567246;14,9455238810437
;19;19;332,11185582;4522,49999986677;23,9581777426042;28,7649730546566;56,3971951055232;15,9194658857922
;20;20;332,71715876;3582,85714280639;29,255865356825;33,8752287747629;59,7273115764442;17,0770450244136
;21;21;333,1178294;2837,14285683834;35,750633877394;40,2513236688832;62,6460905552342;18,4948975250399
;22;22;333,54483384;2244;43,7465559076007;48,1914075054097;65,1985304157636;20,2151082998737
;23;23;333,99373992;1781,99999982236;53,3517761004103;57,8140200207685;67,3414860089093;22,2721552143816
;24;24;334,34398176;1409,99999982236;65,2828042304342;69,8284823767571;69,2123560573619;24,7825023525043
;25;25;334,63195886;1116;79,8832744581579;84,5856888371063;70,8052501895236;27,8100920151372
;26;26;335,0011058;884,999999733546;97,7160207703288;102,66773670036;72,1326699490765;31,4998959361304
;27;27;335,336486;706,666666548243;118,822681445288;124,07982284734;73,261855407899;35,7347563581854
;28;28;335,66233628;557,142856838339;145,908348909376;151,645925968172;74,1887783159053;41,318767906173
;29;29;335,96009366;440;179,316880328844;185,64157558918;75,0010589997476;48,0442610138217
;30;30;336,30616216;342,85714280639;223,040629702819;230,015106922943;75,8544833172732;56,2123377430863
;31;31;336,60806184;274,285714031949;271,232314815359;279,075108530187;76,3844612427797;65,6958720243343
;32;32;336,90884252;220;326,832432551156;335,787032709903;76,7383167235707;77,0291657024504
;33;33;337,1976541;171,428571225559;408,507753324019;419,12096330927;77,0785260920031;93,7219150436686
;34;34;337,49418796;137,142856838339;498,472414101324;509,897415644842;77,8482555545476;107,33418309787
