Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\1 EIS 1A LiCl saturado 1000\2-EIS frequency scan-FrequencyScan.txt;1;1;200249,999999822;605,07788361;11,5123965894855;160,57539719089;4,11132801254336;160,162176895104
;2;2;158860,485739096;606,61944175;11,1790827290848;161,535791265671;3,9683257292174;161,148502844931
;3;3;126183,269646263;607,98807831;7,78377691691399;159,815726627993;2,7916781701396;159,626060825108
;4;4;100227,677540783;609,16737975;6,52749985717531;159,832706800952;2,340586239408;159,699361016047
;5;5;79611,0876933198;610,84598873;6,05996626103051;158,532589721079;2,19068585895414;158,416725166844
;6;6;63235,2803058247;612,08295901;5,70457356011458;158,929009532099;2,05700780511409;158,826596989771
;7;7;50227,936726169;613,41915821;4,71424044858492;157,194190962761;1,71855324126078;157,12348522557
;8;8;39896,1721300446;615,23717165;5,65208522017582;160,27800808939;2,02091222403537;160,178318788051
;9;9;31689,6264184765;616,15270637;6,05310466375962;159,928683380834;2,16909312723714;159,814091030348
;10;10;25171,1472286302;617,39594309;6,63075482579278;159,887454884607;2,37681719343738;159,749902409728
;11;11;19993,5033766323;619,04688861;7,40721627665633;160,298044311311;2,64852521168555;160,126812736225
;12;12;15880,8882903356;619,92300969;8,53729092482334;160,613801528998;3,04694469169174;160,386744792895
;13;13;12614,2281387537;621,67655661;9,92900322539227;161,500707687102;3,52474596014739;161,195203025353
;14;14;10019,5120464972;623,20268889;11,7337994063073;162,942656718814;4,1295484744662;162,519621369476
;15;15;7958,3333331853;624,10633223;13,9535202180343;164,167962839681;4,87575984362945;163,573895522653
;16;16;6321,42857140319;625,50889103;16,7794914430718;163,802403819592;5,87954385484551;162,940713647598
;17;17;5021,42857140319;626,31996751;20,2016260920977;165,234655527155;7,02256457625142;163,995078250577
;18;18;3986,66666654824;627,12905579;24,5034406517615;167,367396558664;8,41865396749909;165,563965967993
;19;19;3168;627,99982585;29,7493740684105;168,523866586836;10,1676571852199;165,87726894278
;20;20;2513,99999982236;628,33763081;36,2739261208015;171,284362702584;12,2264537705269;167,399328523782
;21;21;1993,33333309649;628,92736931;44,304912993934;175,21024695289;14,6472395003743;169,516091631127
;22;22;1586,66666654824;629,29607623;54,0153750513249;180,15591699647;17,447134942362;171,867663296223
;23;23;1265,99999982236;630,04761687;65,7747276483937;185,875621626251;20,7238497111417;173,848876665122
;24;24;1006,66666654824;630,41316227;80,3237560436906;193,966849618522;24,4633281564398;176,553767917788
;25;25;793,333333096486;630,76287607;98,9213657756747;206,816476646042;28,5747607367187;181,624938830982
;26;26;629,999999822364;631,20089591;120,971606404921;222,258296235302;32,9757396328739;186,452730441879
;27;27;506,666666548243;631,51661251;146,305904214686;241,194851042395;37,3432005107438;191,753848882588
;28;28;393,333333096486;631,87353727;182,346090754979;270,86305288273;42,3148353444384;200,291529035377
;29;29;317,142856838339;632,19571549;219,814505468717;303,013632948078;46,5044452874017;208,563767078406
;30;30;257,142856838339;632,50512265;263,721189384509;342,561911851863;50,3403950935826;218,631648489472
;31;31;193,333333096486;632,82331075;337,04502349529;411,860720380322;54,9196721431062;236,706369008646
;32;32;157,499999777955;633,16114035;401,941225819583;475,187855955415;57,7639297809576;253,469425047983
;33;33;125,999999822364;633,50332611;486,076463068867;558,67871927229;60,464043286662;275,411661732372
;34;34;106,666666548243;633,84546675;559,868858245458;633,094288164985;62,1700723989635;295,55919757987
;35;35;80;634,15159495;713,902082173412;790,136748296175;64,6242992361819;338,614674927889
;36;36;65,9999998223643;634,46359587;838,238904323448;918,56423469137;65,8606306589925;375,653820069446
;37;37;53,9999998223643;634,81215359;990,390732035843;1075,81570678245;67,0132458278319;420,125734581129
;38;38;40;635,12446687;1268,76963960409;1366,20989681319;68,2297321624785;506,708085360001
;39;39;29,9999998223643;635,41943003;1605,14363237807;1717,88968670368;69,1265119750516;612,093861363588
;40;40;25,7142856127796;635,70679683;1819,40536288087;1942,72672184755;69,475362230266;681,139663579246
;41;41;20;635,99437323;2228,59316927484;2374,2442348303;69,8266806131669;818,784570254239
;42;42;17,1428568383388;636,28055959;2525,64266245065;2685,09873008488;70,1550024182748;911,528568895464
;43;43;12;636,56353955;3373,81922946343;3582,99809149585;70,3252554362143;1206,32463730362
;44;44;9,99999982236431;636,83361247;3892,22407922338;4126,72132391207;70,5919353341096;1371,28428939599
;45;45;8,57142841916941;637,12334731;4406,69865941439;4669,94569253633;70,6703054811508;1545,76831910673
;46;46;5,99999982236432;637,45687275;5871,21658342325;6222,35166947541;70,6597872741385;2060,69797135807
;47;47;4,99999973354647;637,82111855;6791,32818267835;7185,70158203807;70,9294408427438;2347,80083083368
;48;48;3,74999980015985;638,23961687;8516,29153791214;9023,18298383907;70,7038975599353;2981,712528251
;49;49;3,15789458725416;638,72469751;9652,81413098282;10254,6657151932;70,2726435069199;3461,40842476825
;50;50;2,49999986677324;639,27619527;11594,4189173046;12316,9984317847;70,2769358748473;4156,66938048187
;51;51;1,99999982236431;639,90986339;13863,9407810434;14733,8706191976;70,2129220711333;4987,79404576574
;52;52;1,5789471159914;640,66182939;16667,4296217029;17665,9241639783;70,6442773359335;5855,05477113692
;53;53;1,24999993338662;641,56862247;20234,8709993158;21642,1168910433;69,2243509082176;7676,66719134221
;54;54;0,999999733546472;642,66925871;23909,4034129359;25425,2367876307;70,1155981586428;8647,72190490504
;55;55;0,794818438122252;649,91266337;29023,6503051684;30698,6068893852;70,9859440138864;10001,6092661284
;56;56;0,631326106343912;652,52381207;34665,1008031329;36748,4177301524;70,6148408393548;12197,4174306867
;57;57;0,501463762453483;655,51174581;41815,5767478679;44237,1067905653;70,9545828480337;14435,3440708229
;58;58;0,398313917604931;658,99374075;50360,6641232738;53311,8517924087;70,846495526005;17491,6280145261
;59;59;0,31638158951786;663,04432279;59713,5793137581;63367,8913664383;70,4469134650655;21207,9725991959
;60;60;0,251302624682709;667,83709563;72016,7678925859;76107,6105349694;71,1290076842647;24616,1232457102
;61;61;0,199610285070635;673,55516383;85253,5140653778;90247,8576623186;70,8494233205331;29605,9816953018
;62;62;0,158550862292465;680,46412545;104009,991668732;110438,369061713;70,3547400301307;37128,8970221501
;63;63;0,125937305794236;688,85191767;121141,045041406;129578,693983205;69,2094090602151;45994,4033624654
;64;64;0,100032338576458;699,09904119;146740,615391443;156236,147574593;69,921510514474;53636,979813283
;65;65;0,0794557313665273;711,70054269;175537,372635453;187909,025711575;69,0930949671925;67055,4453576689
;66;66;0,0631118272592439;727,27386635;210301,696459756;225291,280503772;68,9816748414407;80804,440083312
;67;67;0,0501298561266415;746,55625879;250196,806279782;268261,111166823;68,8535671518567;96775,9365330852
;68;68;0,0398184598826237;770,54171661;309302,328767069;332532,890978183;68,4567360062979;122107,301180462
;69;69;0,0316276784463699;800,46882983;356970,731776446;386730,562752439;67,3757726058652;148769,703978354
;70;70;0,025121949118212;837,77520623;436414,413777416;471109,706868427;67,8734372877786;177445,246070356
;71;71;0,0199545270409918;884,45380057;523794,954679089;567070,768638161;67,4709427945856;217274,255485105
;72;72;0,0158497216315589;942,98014201;635679,880177676;702885,790293132;64,7406781848718;299932,532635751
;73;73;0,0125893962687091;1016,22773187;698877,79993504;761450,342893951;66,6100864191099;302285,370885318
;74;74;0,00999982325249341;1107,98049171;833007,104511217;910952,933846398;66,1255945701638;368692,841695087
