Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\1 EIS GC 10A Li2SO4 saturado 1000\2-EIS frequency scan-FrequencyScan.txt;1;1;200249,999999822;288,05117666;3,23778187137377;25,9152278493918;7,17714224909769;25,7121722738335
;2;2;158860,485739096;288,9575348;2,7484904416478;26,1328260441049;6,03718402732385;25,9878894361127
;3;3;126183,269646263;290,44237136;2,46084248309142;25,8864706593695;5,45493901514014;25,769237813172
;4;4;100227,677540783;291,6732728;2,46849010028517;25,8109916425018;5,48799373639355;25,6926807903358
;5;5;79611,0876933198;293,71228178;2,16794106925388;25,9382006177221;4,79443249681567;25,8474424809389
;6;6;63235,2803058247;294,65185206;2,14892079966682;25,9226289003378;4,75513300252425;25,8334052827224
;7;7;50227,936726169;295,88365126;2,60045625050004;25,4791225019945;5,85793569060273;25,3460709136718
;8;8;39896,1721300446;297,6335647;2,45029937683665;26,1194972940342;5,38289659113855;26,00431063991
;9;9;31689,6264184765;298,59889942;2,79909576600216;26,311826173755;6,10677578518305;26,1625163065529
;10;10;25171,1472286302;300,11303614;3,15616435962542;26,4940481458371;6,84173913641787;26,3053837396257
;11;11;19993,5033766323;302,15098166;3,67035881120194;26,7159185927031;7,89653899307884;26,4625919450263
;12;12;15880,8882903356;303,18380274;4,31960345175439;27,0147935152595;9,20095863628772;26,6672101032654
;13;13;12614,2281387537;304,42104966;5,13226829382612;27,3935559784906;10,7983556854261;26,9084880903199
;14;14;10019,5120464972;306,02718194;6,13544824813329;27,8813892079039;12,7122826954878;27,1979436530981
;15;15;7958,3333331853;307,57732528;7,36018132915146;28,5183860083728;14,9564915471426;27,5522425824934
;16;16;6321,42857140319;308,47228408;8,85498208472416;29,3715657552056;17,5466038855059;28,004966830753
;17;17;5021,42857140319;309,35816056;10,6639242430576;30,4898956650728;20,4721917204619;28,5642163800332
;18;18;3986,66666654824;309,93004884;12,8690251113375;31,9765910732525;23,7315195227717;29,2726932370388
;19;19;3168;310,9508189;15,4952409335295;33,8391407303074;27,2522494587605;30,0829678352622
;20;20;2513,99999982236;311,38762386;18,6663425963112;36,27790402114;30,9665468769073;31,1071370306588
;21;21;1993,33333309649;311,98146236;22,4932911985075;39,3979954327344;34,8147374829652;32,3458481907169
;22;22;1586,66666654824;312,45126928;26,9898835694487;43,2591151528428;38,6023798932484;33,806763061768
;23;23;1265,99999982236;312,85260992;32,320724269829;48,0396754767237;42,2829442234923;35,5412605654698
;24;24;1006,66666654824;313,29005532;38,7894359570189;54,0248259070908;45,8890098715586;37,6040087281635
;25;25;793,333333096486;313,64016912;46,8794988737679;61,7481019903633;49,3942068256379;40,188812930425
;26;26;629,999999822364;313,95818896;56,3325519043394;70,9366339387859;52,572684294587;43,1120589917742
;27;27;506,666666548243;314,26890556;67,0412858446423;81,4834944073603;55,3619508457487;46,314423813012
