Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\1 EIS GC 1A Li2SO4\2-EIS frequency scan-FrequencyScan.txt;1;1;100000;243,32423099;3,45460270312868;37,8433173742404;5,23765125621119;37,6853073498283
;2;2;79432,8234721399;245,86774215;3,30638945756092;38,0388050191461;4,98652694538144;37,8948344242265
;3;3;63095,7344477959;247,11431503;3,22269511441868;38,2777083908801;4,82959080353758;38,1418037834704
;4;4;50118,7233625298;248,94451755;3,24876169678695;38,4932776465146;4,84141745588336;38,3559378898385
;5;5;39810,7170550419;250,52063507;3,34547689480816;38,8020328604942;4,94613234243067;38,657541805619
;6;6;31622,7766013657;251,48527483;3,52942177174137;39,0826641102883;5,1812447097942;38,9229728555615
;7;7;25118,8643150248;253,24946983;3,82373322601571;39,3769544479769;5,5725375000628;39,1908612537963
;8;8;19952,6231495358;254,83018767;4,21896303667229;39,7467658647428;6,09320063065638;39,5222184043593
;9;9;15848,93192441;255,96369839;4,71991481674871;40,1908705685073;6,7442355972887;39,9127608814166
;10;10;12589,2541178838;257,25465631;5,34672480576033;40,6846361314723;7,55158525081129;40,3317759465383
;11;11;10000;258,93842599;6,0923053186408;41,1734159682184;8,50912742366474;40,7201915319219
;12;12;7942,85714280639;259,92714093;6,98739269726529;41,7818721298423;9,62709667436778;41,1934604272171
;13;13;6309,99999982236;261,22840621;8,05771093097992;42,5606858222318;10,9132699582588;41,7909711805252
;14;14;5012,49999968914;262,29798385;9,34584830785273;43,4754251102971;12,4136811453664;42,4590120931664
;15;15;3980;262,85316097;10,9012591422199;44,6653268296445;14,1266062400575;43,3145930364482
;16;16;3162,85714280639;263,55239789;12,7548107139809;45,881768452168;16,1404574636155;44,0732512976848
;17;17;2512,49999968914;264,13390237;15,025584856143;47,3662947205428;18,4949476113153;44,919902885961
;18;18;1993,33333309649;264,59807493;17,8025960191892;49,2149515041751;21,2065687428764;45,8822299647245
;19;19;1585,71428561278;265,05111535;21,1611185818401;51,5271417141564;24,2474999870366;46,9814154064781
;20;20;1253,99999982236;265,39449089;25,3681521721685;54,4878002753611;27,7474349443589;48,2221653829165
;21;21;1006,66666654824;266,10453465;30,1531977287805;58,0532303464364;31,292417392829;49,6080862399012
;22;22;793,333333096486;266,62184845;36,4629701310847;63,1789218198434;35,2495105937263;51,5948444278836
;23;23;629,999999822364;266,94066829;43,9267739089927;69,4334747743399;39,2455719909438;53,7721670865805
;24;24;506,666666548243;267,25888489;52,413925190244;76,8798045762797;42,9816853754615;56,2430866670603
;25;25;393,333333096486;267,61560961;64,4223011591167;87,8374018149255;47,1744461555469;59,7090970536378
;26;26;317,142856838339;267,93618783;76,8410051790435;99,6131136021905;50,4792768954174;63,3895285090299
;27;27;257,142856838339;268,56460723;91,3091153505109;113,666120255548;53,4473435114724;67,6951427198121
;28;28;193,333333096486;268,89089533;115,218145034718;137,385705923345;56,9975474821441;74,8305502239206
;29;29;157,499999777955;269,24072493;136,382880463636;158,741425315306;59,2214089074242;81,2314595927994
;30;30;125,999999822364;269,57931065;163,809919054819;186,737866516136;61,3086367247299;89,6512197923271
;31;31;106,666666548243;269,92275133;187,759492865827;211,411999486538;62,6381073585609;97,1668995371529
;32;32;80;270,26427949;237,630295087261;263,235135603121;64,5192874874532;113,245659840608
;33;33;65,9999998223643;270,60798045;278,132336969304;305,550350674995;65,542246033738;126,504624143174
;34;34;53,9999998223643;270,95553813;327,429670073069;357,440434076224;66,353829184639;143,364832049009
;35;35;40;271,28225145;417,160938429092;452,610961492426;67,1724354136906;175,594515609279
;36;36;29,9999998223643;271,56701461;525,240003908582;568,081718564203;67,6059040278589;216,424992228189
;37;37;25,7142856127796;271,85488141;592,763698321812;640,872571500603;67,6581384542403;243,616195795033
;38;38;20;272,14445777;721,218462178304;780,009291740457;67,6123331967443;297,08319544298
;39;39;17,1428568383388;272,43394417;812,971072283727;879,801840873937;67,5238636568864;336,347015498896
;40;40;12;272,71432413;1068,59695279933;1159,07614011139;67,2111475926927;448,952170106689
;41;41;9,99999982236431;272,98479701;1220,90842864128;1327,28910486208;66,9043328827738;520,652452945586
;42;42;8,57142841916941;273,27333189;1368,90497388644;1492,70558553167;66,5004118626528;595,20512224477
;43;43;5,99999982236432;273,60565729;1787,58933207528;1958,69170618893;65,8734073612927;800,623244568856
;44;44;4,99999973354647;273,97020309;2025,49677576774;2230,7093209411;65,2311925168854;934,573103554767
;45;45;3,74999980015985;274,38830141;2486,44075217238;2757,56650874468;64,3796946864251;1192,38644578289
;46;46;3,15789458725416;274,86168209;2795,35708222726;3115,65258537186;63,792158953796;1375,9614150027
;47;47;2,49999986677324;275,41417985;3264,82048262691;3676,33894340881;62,6308408792796;1690,09326459932
;48;48;1,99999982236431;276,04794797;3796,71003709144;4294,39490303497;62,1419833585559;2006,69391723347
;49;49;1,5789471159914;276,79941397;4468,25657973621;5064,89329190857;61,9090830148136;2384,91660149039
;50;50;1,24999993338662;277,70400701;5135,28176156047;5941,66734913819;59,800927666205;2988,6940487777
;51;51;0,999999733546472;278,81154325;5887,08629355585;6861,45828307037;59,0920290891528;3524,46091516729
;52;52;0,794328163631598;286,06750103;6732,47402995533;7911,81456074372;58,3139814441762;4155,7915105998
;53;53;0,630957334661811;288,68972625;7719,24417302166;9177,90726720849;57,2530709417532;4964,59980287935
;54;54;0,501187006056222;291,68028579;8813,66519583046;10594,467394172;56,2956567314665;5878,94932636603
;55;55;0,398107149667568;295,14808189;10022,3477022181;12225,3137776783;55,0650682657667;7000,77449276406
;56;56;0,316227757014633;299,19816789;11372,4475763058;14023,8598019436;54,1874459257257;8205,85643724931
;57;57;0,251188582572927;303,98137829;12885,7477594182;16124,9245789799;53,04613887576;9693,84842869127
