Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;20,27622689;100000;0,797209631249991;2,78940795647754;16,6066065664529;2,67306070853291
;2;2;22,37023803;79432,8234721399;0,951575748480382;2,85571613681889;19,464206052505;2,69251151325149
;3;3;23,74761095;63095,7344477959;1,16628329812761;2,96607746686551;23,154214466986;2,72715947607688
;4;4;24,67501343;50118,7233625298;1,38894046395421;3,11302070775201;26,4983019203791;2,7859903651096
;5;5;26,02953095;39810,7170550419;1,74177990474076;3,3294166463882;31,5436963287276;2,83746682248235
;6;6;27,14847071;31622,7766013657;2,12862571395636;3,6084012944772;36,150498027032;2,91367679605486
;7;7;28,52916571;25118,8643150248;2,60313140829089;3,97805165070082;40,8721591572185;3,00808939475093
;8;8;29,98048355;19952,6231495358;3,18367043942577;4,46016667211314;45,5450045635999;3,1236724021823
;9;9;30,78129427;15848,93192441;3,89397003877479;5,08251565539175;50,0094216243539;3,26633781541753
;10;10;31,95905219;12589,2541178838;4,76452550448169;5,87724477553493;54,1617683549675;3,44111942087108
;11;11;33,51402187;10000;5,82974208863789;6,88203652006584;57,8971501129997;3,65739440633409
;12;12;34,50013681;7942,85714280639;7,13006570727405;8,13944659867341;61,1622407075274;3,92590804051888
;13;13;35,37790209;6309,99999982236;8,71788411797199;9,70055196463233;63,9876846787065;4,25431603482203
;14;14;36,15287973;5012,49999968914;10,6598680251276;11,6347083857015;66,3785432083127;4,66193660480011
;15;15;37,24825685;3980;13,039459111056;14,0261011200991;68,3813664432997;5,16759312662522
;16;16;38,39023441;3162,85714280639;15,9488533082456;16,9661021161232;70,0586579197709;5,78642369402558
;17;17;38,94413893;2512,49999968914;19,4840080357149;20,555834529652;71,4160636156991;6,5510124465329
;18;18;39,28091145;1993,33333309649;23,8265396841816;24,9800053742747;72,5204927316488;7,50311103322556
;19;19;39,78925191;1585,71428561278;29,0496501658939;30,3154444270007;73,3846285121431;8,66856366682209
;20;20;40,10622745;1253,99999982236;35,5925332854027;37,0085004268704;74,0996022807102;10,1390669281333
;21;21;40,79127117;1006,66666654824;43,0451039810808;44,64755002762;74,6029296595376;11,8542290650538
;22;22;41,11168497;793,333333096486;52,8607118335503;54,7161194634412;75,0364517076743;14,127946545338
;23;23;41,40910481;629,999999822364;64,4616537653924;66,6335260450069;75,3311822341749;16,8737069733147
