Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;309,1417732;100000;1,80673687112734;5,21315570201162;20,2778220693924;4,89006076157805
;2;2;310,84518436;79432,8234721399;2,20993374968252;5,41919939634156;24,0665264282637;4,94812236301033
;3;3;311,98215724;63095,7344477959;2,66398190351621;5,72002207832849;27,7574315904849;5,06180333421831
;4;4;313,03965976;50118,7233625298;3,03247782015161;6,02826612639703;30,201536472254;5,2099971939488
;5;5;314,4166772;39810,7170550419;3,87100943942714;6,51420351282948;36,4585723638762;5,23928748270468
;6;6;315,36791704;31622,7766013657;4,75782073065874;7,16575968506623;41,6030478628671;5,35828832361925
;7;7;316,352312;25118,8643150248;5,84610493917925;8,09844095520381;46,2099399988586;5,60426649482574
;8;8;317,63662988;19952,6231495358;7,15727461795066;9,20548949029244;51,0323089731765;5,78916719391691
;9;9;318,6321406;15848,93192441;8,7454518016086;10,6701040369363;55,0469704245039;6,11295288259154
;10;10;319,80649852;12589,2541178838;10,7692945617366;12,5451526041492;59,1421754412644;6,43452783846196
;11;11;321,2137682;10000;13,2041898162809;14,8842166369213;62,5144126641037;6,86944511517689
;12;12;322,1887831;7942,85714280639;16,2116421106008;17,8157606344638;65,499921843764;7,38809766193598
;13;13;323,31654842;6309,99999982236;19,8966051008548;21,4574644936174;68,0113396229543;8,03417002281441
;14;14;323,88182606;5012,49999968914;24,4421022310991;25,998617488767;70,073541753999;8,86068563101778
;15;15;324,63120318;3980;30,0498285079319;31,6276905348062;71,8255751357005;9,86501977744357
;16;16;325,05834006;3162,85714280639;36,8938188453518;38,5364070843524;73,2111403613712;11,1310737117896
;17;17;325,58264458;2512,49999968914;45,3195226929206;47,0833609869466;74,2674728285154;12,7665087127604
;18;18;325,9443171;1993,33333309649;55,6875715666637;57,630204230481;75,0811461759417;14,8369408118609
;19;19;326,35265756;1585,71428561278;68,2842918903749;70,4963856100925;75,6087607320377;17,5212974724174
;20;20;326,6944331;1253,99999982236;83,9778798825152;86,5837666940165;75,9073565757751;21,0823230542019
;21;21;327,05927682;1006,66666654824;101,882048627539;104,968587835803;76,0711963346368;25,2676195890804
;22;22;327,40749062;793,333333096486;125,187133268725;129,018113460968;76,0025870096694;31,2066541780079
;23;23;328,25224766;629,999999822364;153,178295019917;157,908808057583;75,9402121525562;38,3614597865866
;24;24;328,63556426;506,666666548243;184,376987105838;190,380777319583;75,572642014045;47,4338170357627
;25;25;328,97508902;393,333333096486;229,510514349757;237,512867448545;75,0847725195198;61,1333461094663
;26;26;329,29366724;317,142856838339;273,983185193027;283,992696189951;74,7428160682067;74,7332972691625
;27;27;329,5899744;257,142856838339;325,413492532995;338,081128407975;74,2659538328612;91,6782867591208
;28;28;329,9039625;193,333333096486;411,378778411212;428,798766430498;73,6123704366319;120,978852553723
;29;29;330,2248921;157,499999777955;486,589652758004;509,14370327479;72,8822730022593;149,859335422297
;30;30;330,55327786;125,999999822364;580,962754850751;610,030259727987;72,2415290648258;186,062342401735
;31;31;330,8923185;106,666666548243;661,401827730615;696,779546575007;71,6637831094094;219,201639592123
;32;32;331,1986467;80;830,274272931344;876,911456837032;71,2297637854471;282,167210781788
;33;33;331,50834762;65,9999998223643;955,014101410718;1020,57801220053;69,3509620006507;359,899354117039
;34;34;331,85520534;53,9999998223643;1120,84393303621;1200,3025623505;69,0353202416025;429,45910045206
;35;35;332,16541862;40;1406,26347318379;1538,79942126906;66,0458359513168;624,761316733884
;36;36;332,44158178;29,9999998223643;1682,75707029155;1843,40944870416;65,9022777797928;752,653331857092
;37;37;332,72674858;25,7142856127796;1883,38870616438;2066,82495188961;65,6782955496737;851,241659721812
;38;38;333,01162498;20;2324,11023146675;2634,54744870329;61,9048553080223;1240,70620674702
;39;39;333,29631134;17,1428568383388;2543,19767975511;2799,04280887609;65,3119749144122;1169,09632092877
;40;40;333,5719913;12;3210,23627934407;3529,35013043439;65,4477652272839;1466,52493125087
;41;41;333,84076422;9,99999982236431;3497,97034096357;4025,02560084147;60,3490588441133;1991,23945852037
;42;42;334,13549906;8,57142841916941;3845,36310191946;4514,36239313254;58,408698185842;2364,87852350298
;43;43;334,4545245;5,99999982236432;4926,60000184266;5541,81914947528;62,7461115911184;2537,7887830422
;44;44;334,8173703;4,99999973354647;5527,36261698616;6430,93014652019;59,2601084404059;3287,11500403714
;45;45;335,22936862;3,74999980015985;6504,4997034527;7465,19949799818;60,6111774670226;3663,42560354323
;46;46;335,70044926;3,15789458725416;6286,08971843784;7670,92201835681;55,0317641137613;4396,37585557255
;47;47;336,23914702;2,49999986677324;8371,28296409762;9349,99681472008;63,5501652135169;4164,62026723743
;48;48;336,86991514;1,99999982236431;9446,58009928087;10599,5083911729;63,0279818054794;4807,46321487903
;49;49;337,61988114;1,5789471159914;11490,0323243527;13449,0712561262;58,6865101333499;6989,75499124889
;50;50;338,52957422;1,24999993338662;13181,2816261565;15314,6861383865;59,3947648450294;7797,01392901387
;51;51;339,61691046;0,999999733546472;14534,9294190341;15324,2370104673;71,5305780884021;4854,69532892379
;52;52;344,36574272;0,794328163631598;19468,8602424882;20860,8051758252;68,9511636256917;7492,44108700215
;53;53;346,97516794;0,630957334661811;23035,8632276308;24380,2558825498;70,8839686641882;7984,10184407061
;54;54;349,95292748;0,501187006056222;28742,5208259113;30773,8174632145;69,0660130815789;10995,2415994966
;55;55;353,40782358;0,398107149667568;33898,1376529421;35303,4910419416;73,779176499475;9861,68055711806
;56;56;357,44640958;0,316227757014633;41020,5960519217;43001,4542095713;72,5416114946457;12900,9985537137
;57;57;362,21801998;0,251188582572927;53790,6914943513;54805,1609515264;78,9587411634841;10496,0552343364
;58;58;367,93189482;0,199526085755936;59004,5702875424;62207,6125568218;71,5337584585826;19704,0032785756
;59;59;374,82647052;0,158489045074078;78424,6371838476;81821,9651106996;73,431405173256;23332,6007371319
;60;60;383,20322282;0,125892186330241;97611,1676285668;98914,9500439052;80,6870470380954;16007,1014358033
