Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\2 EIS GC 0.1A LiCl saturado 1000\2-EIS frequency scan-FrequencyScan.txt;1;1;545,08149641;200249,999999822;2,54196849187967;56,6513957231006;2,57174568731525;56,5943374690581
;2;2;546,23015455;158860,485739096;4,20502176336177;56,5005323406408;4,26815402627762;56,3438368124275
;3;3;547,32509111;126183,269646263;1,98305937971271;56,4742046514036;2,01232219534715;56,4393769145722
;4;4;548,63349255;100227,677540783;3,07526114393496;56,5347449426773;3,11819738241626;56,451042104023
;5;5;550,12810153;79611,0876933198;1,69649318097452;56,5066558186267;1,72044348235584;56,4811832621418
;6;6;551,05257181;63235,2803058247;2,42372663936683;56,5575470260072;2,45611513777562;56,5055897657624
;7;7;552,61617101;50227,936726169;1,26938496330077;56,892035076871;1,27849947411054;56,8778719450971
;8;8;553,79518445;39896,1721300446;2,15552857611308;56,8005178377881;2,17484553609357;56,7596029161449
;9;9;554,89491917;31689,6264184765;1,73252937750764;56,9087996937455;1,74458013712827;56,8824210502588
;10;10;556,04195589;25171,1472286302;2,18255366049002;57,0977683171085;2,19065630551543;57,0560391747735
;11;11;557,22630141;19993,5033766323;2,07364112772807;57,2845424306055;2,0745011257599;57,2469982964805
;12;12;558,83952249;15880,8882903356;2,47911257835484;57,4954899206357;2,47126755357451;57,4420173917818
;13;13;559,95006941;12614,2281387537;2,53445006926168;57,7315873735118;2,51612649926113;57,6759286315517
;14;14;561,52260169;10019,5120464972;2,96252331619323;58,0038290060385;2,92763374756995;57,9281247319707
;15;15;562,46254503;7958,3333331853;3,20243337462406;58,3179960747611;3,14788350596456;58,2300016027558
;16;16;563,70110383;6321,42857140319;3,70157959515473;58,6680453925897;3,61740110859904;58,5511559124814
;17;17;564,43998031;5021,42857140319;4,11499506441111;59,0455631251683;3,99628882038422;58,901997762284
;18;18;565,01116859;3986,66666654824;4,74961407728067;59,5553192785663;4,57427054496722;59,3656232215991
;19;19;565,68123865;3168;5,39237663426998;60,040151979176;5,15284007641257;59,7975093454296
;20;20;566,01194361;2513,99999982236;6,25415471974285;60,5758497752729;5,92606395791051;60,2521296282377
;21;21;566,72668211;1993,33333309649;7,22166534824467;61,2045445486232;6,77624697843586;60,7770007733383
;22;22;567,09608903;1586,66666654824;8,43573189073181;61,9195646088094;7,83015210235764;61,3422440803416
;23;23;567,52312967;1265,99999982236;9,80254673494861;62,7517448589955;8,98706838456572;61,9813807554947
;24;24;567,88587507;1006,66666654824;11,5212948912285;63,7429545188306;10,413225102335;62,6930938367143
;25;25;568,24478887;793,333333096486;13,6584008878838;64,9957243932824;12,1307364852592;63,5444118282118
;26;26;568,56030871;629,999999822364;16,1790474345501;66,4764691237937;14,0861208494956;64,47758813167
;27;27;568,86912531;506,666666548243;19,0380462695157;68,2034979595901;16,2086405970939;65,4925181082815
;28;28;569,20595007;393,333333096486;23,1000341855743;70,7303357942338;19,0621157719733;66,851842324579
;29;29;569,66852829;317,142856838339;27,3061603370652;73,4473412732891;21,8253589681377;68,1827364349766
;30;30;569,96813545;257,142856838339;32,1927041953763;76,7768237791892;24,7905510468611;69,7015815187122
;31;31;570,29132355;193,333333096486;40,4123021773752;82,7060663930621;29,2502869029034;72,160510328975
;32;32;570,61365315;157,499999777955;47,6597280001344;88,25628279474;32,6846687962592;74,2813689945084
;33;33;570,94223891;125,999999822364;57,0603778657979;95,8659541896891;36,5276064045018;77,0350209353637
;34;34;571,90319927;106,666666548243;65,3615787386232;102,819832382681;39,4712077907226;79,3711657719433
;35;35;572,21002747;80;82,5982823867041;117,980535573227;44,4351019924798;84,2432817553532
;36;36;572,52082839;65,9999998223643;96,646427100595;130,816731516956;47,6286609712187;88,1617001507381
;37;37;572,88448611;53,9999998223643;113,963090979818;147,03417152481;50,8121908161824;92,9056590865862
;38;38;573,19509939;40;145,919619596184;177,907592492478;55,1047138286321;101,77709016952
;39;39;573,47386255;29,9999998223643;184,699951506371;216,084650041599;58,732942614732;112,153929477056
;40;40;573,76022935;25,7142856127796;209,782983162556;241,015525800248;60,5066375240841;118,657421395329
;41;41;574,06170575;20;257,98327990263;289,166470064024;63,1461680714788;130,621111233863
;42;42;574,34789211;17,1428568383388;293,509171037;324,803261983337;64,6423598051024;139,102571910764
;43;43;574,62467207;12;396,263709101152;428,123092320872;67,7565206498957;162,063120504892
;44;44;574,89404499;9,99999982236431;462,999130194776;495,010848001639;69,2817316317807;175,12151517784
;45;45;575,19137983;8,57142841916941;528,518485091361;561,552088702356;70,249736674695;189,760267818928
;46;46;575,51110527;5,99999982236432;718,566213182478;755,536718244361;72,0019864189285;233,448773584383
;47;47;575,87425107;4,99999973354647;840,064136207021;879,482328252726;72,780997101714;260,348636961263
;48;48;576,28854939;3,74999980015985;1078,45915504809;1121,72763852995;74,0343817257935;308,542940180027
;49;49;576,76073003;3,15789458725416;1257,72565204551;1302,97241272218;74,8564180068607;340,386974635855
;50;50;577,30012779;2,49999986677324;1544,66560445234;1595,50431674319;75,4973992127338;399,552493632614
;51;51;577,94009591;1,99999982236431;1872,87272225392;1930,09865768643;76,0130427224771;466,506800207819
;52;52;578,69036191;1,5789471159914;2308,57843919992;2375,13370262359;76,4042180148178;558,324005752673
;53;53;579,59175499;1,24999993338662;2805,5024968626;2886,41406688252;76,4017384665513;678,63237882891
;54;54;580,68169123;0,999999733546472;3399,39804126818;3506,44368698118;75,8061637657504;859,790839095338
;55;55;590,30514485;0,794818438122252;3969,92679839132;4101,69698302078;75,4375649828957;1031,30953449304
;56;56;592,91639351;0,631326106343912;4859,35482968237;5024,54099091493;75,2676062299075;1277,76477045932
;57;57;595,90072729;0,501463762453483;5873,59358863415;6059,24409876695;75,780260786146;1488,40095538733
;58;58;599,35472223;0,398313917604931;7101,52465587475;7339,8530330799;75,3592262295637;1855,20621743656
;59;59;603,39300427;0,31638158951786;8602,06867637208;8863,88554927876;76,0395566821489;2138,42968500043
;60;60;608,16417707;0,251302624682709;10494,568078519;10807,7771435609;76,1725836851164;2583,03844923116
;61;61;613,87004527;0,199610285070635;12833,5956123265;13193,2239145974;76,5914880735965;3059,40858990393
;62;62;620,75630689;0,158550862292465;15720,7140625154;16172,7243844357;76,4219644195219;3796,86230716273
;63;63;629,13879915;0,125937305794236;18926,5553812529;19426,65298398;76,9712689533826;4379,53736830116
;64;64;639,38052267;0,100032338576458;22997,5532819361;23645,5579205189;76,5553734624357;5497,72247545486
;65;65;651,96262417;0,0794557313665273;28061,6548559413;28876,2992557125;76,3580255204174;6810,59361961131
;66;66;667,52734783;0,0631118272592439;34267,8069807741;35211,6058830589;76,7043581996646;8097,81412433494
;67;67;686,80454027;0,0501298561266415;41562,8550533286;42704,2667747702;76,7231434274505;9807,31770601591
;68;68;710,77109809;0,0398184598826237;52199,2636398127;53410,6345212208;77,7739381180967;11310,7362899482
;69;69;740,70111127;0,0316276784463699;61636,3328677734;63337,1036300121;76,6921446394478;14579,1346400234
;70;70;777,99608771;0,025121949118212;74258,6324075615;76193,5431199001;77,0600564045109;17061,9906846399
;71;71;824,66928205;0,0199545270409918;95254,3353541921;97615,9838783241;77,3711359845613;21342,256318495
;72;72;883,19202349;0,0158497216315589;113624,816307696;117443,017540344;75,3500167306675;29702,9205302079
;73;73;956,44291335;0,0125893962687091;147817,246691469;150554,662267267;79,0573846530755;28579,1516837765
;74;74;1048,18527319;0,00999982325249341;163620,176336956;168044,021270583;76,8240047616711;38304,4511806624
