Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;5983,04236388;100000;0,7922112864752;2,77526692208243;16,5859934763925;2,65979468500601
;2;2;5984,54757502;79432,8234721399;0,961613293109598;2,83779399645081;19,8074004120331;2,66990161631607
;3;3;5985,88354794;63095,7344477959;1,1671213741238;2,95156774549405;23,2924342125852;2,71101085470055
;4;4;5987,46715042;50118,7233625298;1,28745931260475;3,12059128647787;24,3663195889303;2,84262880018284
;5;5;5988,64766794;39810,7170550419;1,7398056658202;3,31591348573316;31,6469506920464;2,82282810139883
;6;6;5990,0731077;31622,7766013657;2,12540066738558;3,59459646900788;36,247649838055;2,8989301092094
;7;7;5991,7183027;25118,8643150248;2,59803946827174;3,96384556369626;40,9525723592046;2,99370382204666
;8;8;5993,15662054;19952,6231495358;3,1764976856318;4,44537380603535;45,6073608057376;3,1098570270289
;9;9;5993,95843126;15848,93192441;3,8862724447203;5,06805187824217;50,068984699682;3,25300420011436
;10;10;5995,05378922;12589,2541178838;4,75075371213522;5,85959244179118;54,1707622726557;3,43003830161264
;11;11;5996,4111589;10000;5,80882505612942;6,85955792901766;57,8676845119141;3,64843616482899
;12;12;5997,2267738;7942,85714280639;7,10487575524995;8,11341378765247;61,1273337293292;3,91768092015297
;13;13;5998,13443912;6309,99999982236;8,68558755820482;9,66795436961453;63,9471597993779;4,24616420569274
;14;14;5998,67031676;5012,49999968914;10,6142445171257;11,5914358751086;66,3049229522993;4,65823990123114
;15;15;5999,49379388;3980;12,9790844875515;13,9682495777243;68,3080869368199;5,16288312191892
;16;16;6000,92347144;3162,85714280639;15,8705313484577;16,8907224571493;69,9845742955935;5,78124033768448
;17;17;6001,29797592;2512,49999968914;19,3857660488238;20,4615598090353;71,3381719107961;6,54732804424804
;18;18;6001,68634848;1993,33333309649;23,6950224703103;24,8534631053143;72,4376522994335;7,49936920405387
;19;19;6002,0116889;1585,71428561278;28,883733628041;30,1518660635641;73,3238094584091;8,65245391894593
;20;20;6002,64736444;1253,99999982236;35,3846155615486;36,8049380312158;74,0307437631989;10,1258305853421
;21;21;6003,0245082;1006,66666654824;42,7827588139698;44,3868733587149;74,5494222876666;11,8249767369024
;22;22;6003,343822;793,333333096486;52,5473167168357;54,4109597729745;74,9608511864105;14,118500248851
;23;23;6003,63564184;629,999999822364;64,0846497679855;66,2628301231349;75,2685171481848;16,849935312697
;24;24;6003,91845844;506,666666548243;77,2838429447374;79,8322613977428;75,4840351472089;20,0099370206582
;25;25;6004,22748316;393,333333096486;95,9212433713384;99,0714883043722;75,5125145605703;24,7845690892506
;26;26;6004,51916138;317,142856838339;115,480507926091;119,226194216703;75,6000460725659;29,650255926905
;27;27;6004,83926854;257,142856838339;138,171762861001;142,691324255412;75,540941477055;35,628330941071
;28;28;6006,40049908;193,333333096486;176,189007590367;182,107120879622;75,3529887444115;46,0482038671074
;29;29;6006,69732868;157,499999777955;209,510054271777;216,757011319714;75,1424779599082;55,5800244268694
;30;30;6007,0191144;125,999999822364;252,712454776247;261,843163002294;74,8246257541146;68,5438342377263
;31;31;6007,33035508;106,666666548243;290,537016686123;301,436677293493;74,5451970281381;80,326286811161
;32;32;6007,60718324;80;368,817975633447;383,753387634273;73,9624206388207;106,018693495188
;33;33;6007,8914842;65,9999998223643;431,908162022731;450,419774989905;73,5164868266095;127,801851630181
;34;34;6008,23144188;53,9999998223643;508,598442717343;531,944405743043;72,9622712508002;155,860433936303
;35;35;6008,5173552;40;647,305266510938;680,448713774018;72,0436717464384;209,776891062668
;36;36;6008,76821836;29,9999998223643;812,213912235614;858,849827554817;71,0318783505003;279,162295200941
;37;37;6009,02628516;25,7142856127796;916,2993474193;972,763769525304;70,3824471183574;326,595862221255
;38;38;6009,28556152;20;1110,86498010958;1187,50297649913;69,3030590423938;419,693120220514
;39;39;6009,54454788;17,1428568383388;1247,7952165548;1340,53491917346;68,5628257907714;489,939758609505
;40;40;6009,79472788;12;1618,61604861119;1762,84433385465;66,662070753587;698,356808932056
;41;41;6010,03610076;9,99999982236431;1838,6154736265;2017,36874073925;65,6985502222468;830,222726895064
;42;42;6010,2963356;8,57142841916941;2037,46669537989;2256,70298691716;64,5353951033395;970,277195639778
;43;43;6010,58956104;5,99999982236432;2596,56579859024;2927,53642318705;62,4919172408311;1352,15219656599
;44;44;6010,92520684;4,99999973354647;2897,37482322121;3310,52660647846;61,0687237097336;1601,50102902423
;45;45;6011,31120516;3,74999980015985;3432,21073913562;3988,5916961744;59,373547103098;2031,94319825961
;46;46;6011,75588584;3,15789458725416;3775,73891775287;4439,85257155113;58,2573679023645;2335,82672346977
;47;47;6012,2684836;2,49999986677324;4294,19590341239;5136,99101166465;56,7134308276025;2819,31874697411
;48;48;6012,87435172;1,99999982236431;4856,44814583824;5883,63001600875;55,6307899534924;3321,44751156231
;49;49;6013,59721772;1,5789471159914;5517,09054983474;6795,5935445451;54,2783470105406;3967,5941687107
;50;50;6014,47221076;1,24999993338662;6270,49664211886;7751,37854895673;53,9937085312453;4556,83456693379
