Filename;Index;DataIndex;Time (s);Frequency (Hz);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\labor\AppData\Local\Temp\EIS at open circuit potential\2-EIS frequency scan-FrequencyScan.txt;1;1;308,87923093;100000;1,16840480364226;2,84787572992103;24,2219475366761;2,59715736679526
;2;2;310,64164209;79432,8234721399;1,38206789051176;3,03838563304322;27,0565154315641;2,70585949396857
;3;3;311,93371497;63095,7344477959;1,64843900809536;3,21769567104571;30,8174336252299;2,76337009248778
;4;4;313,44121749;50118,7233625298;2,27764488182539;3,42850435460066;41,6306453701568;2,56261114916217
;5;5;314,79863501;39810,7170550419;2,44597906124079;3,78643945685985;40,2394877050007;2,89038236094063
;6;6;316,17197477;31622,7766013657;2,99859450852521;4,24388994221145;44,9563157357683;3,00317046053766
;7;7;317,10586977;25118,8643150248;3,65271012738248;4,80244458142499;49,5165841625489;3,11788112072537
;8;8;318,28538761;19952,6231495358;4,48655662004431;5,54603694687885;53,9950522606493;3,26026617184577
;9;9;319,04159833;15848,93192441;5,49280157914682;6,49088935360464;57,804230392246;3,45843539954997
;10;10;320,12525625;12589,2541178838;6,74036239870121;7,68621827904571;61,2755694029018;3,69397701228788
;11;11;321,63862593;10000;8,25850222197383;9,17782171564304;64,1360583079768;4,00369235753476
;12;12;322,65634087;7942,85714280639;10,1212868941377;11,0290414509983;66,5912777947601;4,38170137439717
;13;13;323,56610615;6309,99999982236;12,3865887309052;13,3059637405295;68,5763367430528;4,8601533592775
;14;14;324,31058379;5012,49999968914;15,1553211334823;16,1081611560388;70,1943522916189;5,45793891225818
;15;15;325,49026091;3980;18,5425960820412;19,558866340359;71,4489262258461;6,22265080639275
;16;16;325,87749783;3162,85714280639;22,6475212080607;23,751923152355;72,4592099911097;7,15846607631951
;17;17;326,31460231;2512,49999968914;27,6251377498099;28,8573204928001;73,1963059816033;8,34246428390353
;18;18;326,66937487;1993,33333309649;33,7413419172466;35,1451625382881;73,7513618054525;9,83383421998509
;19;19;327,10081529;1585,71428561278;41,0164852912024;42,6290244005629;74,1904805156941;11,6138561942349
;20;20;327,46739083;1253,99999982236;50,0952937292154;51,9995212550589;74,4463725886532;13,9431616550533
;21;21;327,82963459;1006,66666654824;60,3773309907651;62,6200098309214;74,6195388185656;16,6085379746772
;22;22;328,17564839;793,333333096486;73,9277022108807;76,6063044297138;74,8038653631626;20,0803566750529
;23;23;328,49246823;629,999999822364;89,4070670089665;92,6564245513367;74,7813532221314;24,3226104580026
;24;24;329,50463103;506,666666548243;107,701469438951;111,605774314794;74,8001103296285;29,2616189076328
;25;25;329,84085575;393,333333096486;135,099515740925;139,900682528518;74,94603078765;36,3362328607779
;26;26;330,15623397;317,142856838339;159,635126384865;165,493619902593;74,7092231908124;43,6436095270788
;27;27;330,45374113;257,142856838339;190,367643468012;197,444654009199;74,6132933849007;52,3884693157608
;28;28;330,76632927;193,333333096486;241,006325389324;250,331496337916;74,3120659271431;67,6890624925157
;29;29;331,08685887;157,499999777955;285,638334208691;296,845928563757;74,205558917452;80,7975701080358
;30;30;331,41634459;125,999999822364;343,184740277508;356,855312431999;74,0895976313672;97,8261112975427
;31;31;331,75428527;106,666666548243;393,541238552207;410,070837067848;73,676658044517;115,2535681544
;32;32;332,05781343;80;508,399957955287;530,380225909445;73,447185806213;151,104820528059
;33;33;332,36881439;65,9999998223643;588,602074231776;615,070439430577;73,1302512220229;178,491578712762
;34;34;332,71327207;53,9999998223643;684,669902870422;717,010349706234;72,7259574978217;212,910698860491
;35;35;333,02568539;40;853,748535442629;893,441860425568;72,8570971829424;263,347291974431
;36;36;333,30234855;29,9999998223643;1109,44260496955;1162,93855882287;72,55388409074;348,659142824882
;37;37;333,58671535;25,7142856127796;1215,68059367163;1283,43819688411;71,299267987418;411,502490139883
;38;38;333,87019171;20;1507,2269931244;1597,35981534236;70,6606743066501;528,985038415806
;39;39;334,15547807;17,1428568383388;1711,8245658631;1820,38702716165;70,1126034180066;619,245980500487
;40;40;334,43285807;12;2323,34872297563;2481,81176590499;69,4147786399097;872,605496677608
;41;41;334,70113095;9,99999982236431;2558,02957027547;2739,65005688236;69,0201953108609;980,901193684578
;42;42;334,98646579;8,57142841916941;2969,89827489257;3144,91926414998;70,7950610865856;1034,51506263164
;43;43;335,30729123;5,99999982236432;3738,16445584;4084,30946528066;66,2412629206201;1645,51217232677
;44;44;335,66873703;4,99999973354647;4460,93354322285;4786,60073923873;68,7428670076252;1735,40155578758
;45;45;336,08173535;3,74999980015985;5012,79797654513;5397,94355588008;68,2252771508317;2002,41131609176
;46;46;336,55221603;3,15789458725416;6199,48560243821;6746,52284365414;66,7680725082612;2661,19310556535
;47;47;337,09071379;2,49999986677324;7482,58166007068;8162,72273585331;66,4450429947866;3262,05673813169
;48;48;337,72218191;1,99999982236431;8794,34763431555;9600,04314343562;66,3586785822668;3849,71142329315
;49;49;338,47934791;1,5789471159914;10619,7998587027;11406,2406058836;68,5993557969806;4161,9917972537
;50;50;339,38274095;1,24999993338662;11454,7702989132;12067,3100039509;71,6661391070887;3795,81455429407
;51;51;340,46957719;0,999999733546472;13361,1460252532;15192,0440795684;61,5800728431442;7230,35131977757
;52;52;345,20630945;0,794328163631598;16939,7426905584;17961,9299299176;70,5773815251313;5972,94269057911
