Filename;Index;DataIndex;Frequency (Hz);Time (s);-Z'' (Ω);Z (Ω);-Phase (°);Z' (Ω)
C:\Users\gpnan\AppData\Local\Temp\EIS - OCP\2-EIS frequency scan-FrequencyScan.txt;1;1;1000249,99999982;71,2268064;2,21341069067677;4,36768327147587;30,4489171042977;3,76529816539513
;2;2;794578,234724064;72,9824062;1,10452946887136;3,42488625853885;18,8142463697003;3,24189150594572
;3;3;631207,344479913;73,99680654;0,496860376971135;2,67106130747969;10,7203783389035;2,6244424691944
;4;4;501437,233627252;74,87860664;0,250505938302614;2,17377444989073;6,61747259927117;2,1592920446
;5;5;398357,170553439;76,07070586;0,151262365446892;1,86432096658356;4,65382962867879;1,85817447061423
;6;6;316477,766016677;77,47310654;0,12561955084346;1,68518756282246;4,2749855758055;1,68049898849639
;7;7;251438,643150781;78,35440688;0,130086658092652;1,63078426340343;4,57531011779036;1,62558751691521
;8;8;199776,231496601;79,28870614;0,121032599108576;1,52915589333003;4,53970601533254;1,52435850640818
;9;9;158489,319245876;80,38767028;0,132589963226727;1,5009431911772;5,06798698858228;1,49507537094046
;10;10;125892,541179194;81,24830824;0,146428380633707;1,48729513179929;5,65008318556767;1,48006943702613
;11;11;100000;82,5249114;0,168808277266197;1,48369886540232;6,53299103323891;1,47406447916045
;12;12;79432,8234721399;84,08592254;0,191140864919285;1,49207578192908;7,36004300663908;1,47978218288273
;13;13;63095,7344477959;84,96309546;0,221246281636585;1,5043613064088;8,45716151410912;1,4880030319465
;14;14;50118,7233625298;86,23759794;0,224990162910311;1,52834821314733;8,46535307089232;1,51169695614704
;15;15;39810,7170550419;87,52301546;0,304628821266995;1,5370904984954;11,4308633712799;1,50660163341818
;16;16;31622,7766013657;89,20895522;0,362057102439261;1,56386530127369;13,3862383799417;1,52137744662563
;17;17;25118,8643150248;90,41325022;0,432464002014478;1,59858722821336;15,6957403199063;1,5389788865246
;18;18;19952,6231495358;91,99756806;0,521451202943424;1,64059398379955;18,5325246368203;1,55551832603417
;19;19;15848,93192441;92,89507878;0,630783750026607;1,69771628658645;21,8111421317537;1,57618287341389
;20;20;12589,2541178838;94,42023674;0,766451332054993;1,77381113810459;25,6004591110058;1,59967443852023
;21;21;10000;96,02630642;0,934900277849351;1,87605075578981;29,889853509885;1,62650788770812
;22;22;7942,85714280639;96,90612132;1,14414919548216;2,01422509498354;34,6132737198057;1,65771690940852
;23;23;6309,99999982236;97,72608664;1,40336686068654;2,20017911854499;39,6310975936323;1,69450571200224
;24;24;5012,49999968914;98,47806428;1,72435938011655;2,44816986775199;44,7767565224126;1,73784936906882
;25;25;3980;99,4024414;2,12487672588193;2,77909172017812;49,8708818511523;1,79115875593646
;26;26;3162,85714280639;99,84847828;2,61785257372816;3,20838246819235;54,6805671721625;1,85487626660887
;27;27;2512,49999968914;100,43698276;3,23100919505386;3,76461351611963;59,1215362947557;1,93207000577826
;28;28;1993,33333309649;100,89685532;3,9927865787297;4,47800192382092;63,080649366331;2,02735210717325
;29;29;1585,71428561278;101,66279578;4,92739122460416;5,37406298897725;66,474682330775;2,14508012185769
;30;30;1253,99999982236;102,01117132;6,11359737904141;6,52905724348637;69,4502183506569;2,29183672535803
;31;31;1006,66666654824;102,49451504;7,48313679244732;7,87680692067424;71,8090933702513;2,45901423564459
;32;32;793,333333096486;102,83862884;9,3243998004715;9,70550591123499;73,8904666547241;2,69303051486321
;33;33;629,999999822364;103,15504868;11,527530290064;11,9045579865779;75,5415898279243;2,97229646358697
;34;34;506,666666548243;103,46606528;14,0885257331634;14,4685055657015;76,8398406192053;3,29410017618285
;35;35;393,333333096486;103,80989004;17,7698875323199;18,1722284347127;77,9208829259753;3,80275996771856
;36;36;317,142856838339;104,12806826;21,6552736829516;22,0694333774169;78,882491369136;4,25546840156365
;37;37;257,142856838339;104,42797542;26,229268875432;26,6670643423804;79,6036328903609;4,81225258075153
;38;38;193,333333096486;104,77506352;34,0653653956414;34,5474534291736;80,4170525076407;5,75129714954426
;39;39;157,499999777955;105,09919312;41,030299283345;41,5544649541612;80,8899524618307;6,5793691449675
;40;40;125,999999822364;105,42857884;50,5189088223915;51,077264888167;81,5203904408218;7,53172223670422
;41;41;106,666666548243;105,76801952;58,8817595472602;59,4774426278545;81,8841828899681;8,39670019521735
;42;42;80;106,07214772;76,8822778901966;77,5647463887436;82,3938357917092;10,2667048640112
;43;43;65,9999998223643;106,38624864;92,150346581649;92,89681790563;82,7316636074723;11,752974171407
;44;44;53,9999998223643;106,73180632;111,08653241431;111,893796635221;83,1134147666349;13,4165584860143
;45;45;40;107,06461964;146,117406006798;147,151752593621;83,2026023940456;17,4167147653862
;46;46;29,9999998223643;107,3431828;191,846744518265;193,081648948099;83,5164099482558;21,8025177046327
;47;47;25,7142856127796;107,6310496;222,011976972203;223,300645038723;83,8415381476084;23,9553784274767
;48;48;20;107,91702596;283,0122353879;284,647647102743;83,8552313659888;30,4689616145956
;49;49;17,1428568383388;108,21601236;324,851740720309;326,570837854689;84,118476508725;33,4642897444244
;50;50;12;108,49529232;457,137111752247;459,226520961922;84,5323500315161;43,7568121965422
;51;51;9,99999982236431;108,7712652;554,8027670015;556,304422707109;85,7892030469947;40,8472820511914
;52;52;8,57142841916941;109,05830008;602,367784730027;605,829352442096;83,872181471845;64,6703657006013
;53;53;5,99999982236432;109,39092552;887,100052589963;889,768779875182;85,5612594939889;68,8620238989177
;54;54;4,99999973354647;109,75437128;1080,11871149779;1082,85968852804;85,9224820069493;76,997883811213
;55;55;3,74999980015985;110,16996964;1376,82568061037;1382,21452332799;84,9389706245717;121,934546829979
;56;56;3,15789458725416;110,65185028;1708,54732309028;1715,51344146392;84,8348485238353;154,442263012434
;57;57;2,49999986677324;111,19314804;1858,02625982541;1863,65340917079;85,5464266049537;144,715055585431
;58;58;1,99999982236431;111,83661616;2339,84506369583;2360,84197134562;82,3527683718264;314,165388872344
;59;59;1,5789471159914;112,58998216;3036,15706346447;3036,80848806763;88,8132239588044;62,8973701712067
;60;60;1,24999993338662;113,5025752;3788,27545449167;3788,3501184288;89,6402765646191;23,7844633201033
